date,slot,load_kw,pv_actual_kw,price_yuan_per_kwh,day_of_year,month,weekday,is_weekend,sin_time,cos_time,sin_doy,cos_doy,time_label,interval_start,interval_end,timestamp_end,load_kwh,pv_actual_kwh,pv_positive,is_daylight
2025-02-01,1,2532.1822,0.0,0.3281,32,2,5,True,0.0,1.0,0.5086709438521044,0.8609610158889943,0:00,2025-02-01 00:00:00,2025-02-01 00:10:00,2025-02-01 00:10:00,422.0303666666667,0.0,False,False
2025-02-02,1,3591.9843,0.0,0.4523,33,2,6,True,0.0,1.0,0.5234156073655503,0.8520775211013093,0:00,2025-02-02 00:00:00,2025-02-02 00:10:00,2025-02-02 00:10:00,598.66405,0.0,False,False
2025-02-03,1,3319.2759,0.0,0.4231,34,2,0,False,0.0,1.0,0.5380051715382996,0.8429415373547828,0:00,2025-02-03 00:00:00,2025-02-03 00:10:00,2025-02-03 00:10:00,553.21265,0.0,False,False
2025-02-04,1,3336.6152,0.0,0.4005,35,2,1,False,0.0,1.0,0.5524353131676196,0.8335557718385699,0:00,2025-02-04 00:00:00,2025-02-04 00:10:00,2025-02-04 00:10:00,556.1025333333333,0.0,False,False
2025-02-05,1,3549.4514,0.0,0.4652,36,2,2,False,0.0,1.0,0.5667017562911176,0.8239230057575542,0:00,2025-02-05 00:00:00,2025-02-05 00:10:00,2025-02-05 00:10:00,591.5752333333334,0.0,False,False
2025-02-06,1,3497.9209,0.0,0.4426,37,2,3,False,0.0,1.0,0.5808002734538009,0.8140460935082178,0:00,2025-02-06 00:00:00,2025-02-06 00:10:00,2025-02-06 00:10:00,582.9868166666666,0.0,False,False
2025-02-07,1,2317.5067,0.0,0.3426,38,2,4,False,0.0,1.0,0.5947266869607634,0.8039279618328213,0:00,2025-02-07 00:00:00,2025-02-07 00:10:00,2025-02-07 00:10:00,386.25111666666663,0.0,False,False
2025-02-08,1,2341.7515,0.0,0.3602,39,2,5,True,0.0,1.0,0.6084768701151261,0.7935716089521474,0:00,2025-02-08 00:00:00,2025-02-08 00:10:00,2025-02-08 00:10:00,390.2919166666666,0.0,False,False
2025-02-09,1,3413.1243,0.0,0.4192,40,2,6,True,0.0,1.0,0.6220467484408675,0.7829801036770629,0:00,2025-02-09 00:00:00,2025-02-09 00:10:00,2025-02-09 00:10:00,568.85405,0.0,False,False
2025-02-10,1,3379.5939,0.0,0.4168,41,2,0,False,0.0,1.0,0.6354323008901774,0.7721565844991642,0:00,2025-02-10 00:00:00,2025-02-10 00:10:00,2025-02-10 00:10:00,563.2656499999999,0.0,False,False
2025-02-11,1,3413.1735,0.0,0.4117,42,2,1,False,0.0,1.0,0.6486295610349814,0.7611042586607747,0:00,2025-02-11 00:00:00,2025-02-11 00:10:00,2025-02-11 00:10:00,568.86225,0.0,False,False
2025-02-12,1,3272.9536,0.0,0.4068,43,2,2,False,0.0,1.0,0.6616346182422783,0.7498264012045686,0:00,2025-02-12 00:00:00,2025-02-12 00:10:00,2025-02-12 00:10:00,545.4922666666666,0.0,False,False
2025-02-13,1,3551.1175,0.0,0.4584,44,2,3,False,0.0,1.0,0.6744436188329455,0.7383263540031065,0:00,2025-02-13 00:00:00,2025-02-13 00:10:00,2025-02-13 00:10:00,591.8529166666666,0.0,False,False
2025-02-14,1,2507.4053,0.0,0.3006,45,2,4,False,0.0,1.0,0.6870527672236669,0.7266075247685656,0:00,2025-02-14 00:00:00,2025-02-14 00:10:00,2025-02-14 00:10:00,417.9008833333333,0.0,False,False
2025-02-15,1,2470.6272,0.0,0.2962,46,2,5,True,0.0,1.0,0.699458327051647,0.7146733860429609,0:00,2025-02-15 00:00:00,2025-02-15 00:10:00,2025-02-15 00:10:00,411.77119999999996,0.0,False,False
2025-02-16,1,3581.8623,0.0,0.4482,47,2,6,True,0.0,1.0,0.7116566222817746,0.7025274741691571,0:00,2025-02-16 00:00:00,2025-02-16 00:10:00,2025-02-16 00:10:00,596.97705,0.0,False,False
2025-02-17,1,3431.708,0.0,0.3871,48,2,0,False,0.0,1.0,0.7236440382959124,0.6901733882429719,0:00,2025-02-17 00:00:00,2025-02-17 00:10:00,2025-02-17 00:10:00,571.9513333333333,0.0,False,False
2025-02-18,1,3450.3468,0.0,0.4538,49,2,1,False,0.0,1.0,0.7354170229639855,0.6776147890466889,0:00,2025-02-18 00:00:00,2025-02-18 00:10:00,2025-02-18 00:10:00,575.0577999999999,0.0,False,False
2025-02-19,1,3303.9013,0.0,0.395,50,2,2,False,0.0,1.0,0.7469720876965552,0.6648553979642865,0:00,2025-02-19 00:00:00,2025-02-19 00:10:00,2025-02-19 00:10:00,550.6502166666667,0.0,False,False
2025-02-20,1,3438.0854,0.0,0.4508,51,2,3,False,0.0,1.0,0.7583058084785624,0.6518989958787126,0:00,2025-02-20 00:00:00,2025-02-20 00:10:00,2025-02-20 00:10:00,573.0142333333333,0.0,False,False
2025-02-21,1,2404.3697,0.0,0.3168,52,2,4,False,0.0,1.0,0.7694148268839378,0.6387494220515272,0:00,2025-02-21 00:00:00,2025-02-21 00:10:00,2025-02-21 00:10:00,400.72828333333337,0.0,False,False
2025-02-22,1,2306.8268,0.0,0.3121,53,2,5,True,0.0,1.0,0.7802958510707755,0.6254105729852463,0:00,2025-02-22 00:00:00,2025-02-22 00:10:00,2025-02-22 00:10:00,384.4711333333333,0.0,False,False
2025-02-23,1,3653.2341,0.0,0.4172,54,2,6,True,0.0,1.0,0.7909456567567772,0.6118864012687243,0:00,2025-02-23 00:00:00,2025-02-23 00:10:00,2025-02-23 00:10:00,608.87235,0.0,False,False
2025-02-24,1,3298.8996,0.0,0.4486,55,2,0,False,0.0,1.0,0.8013610881746766,0.5981809144059165,0:00,2025-02-24 00:00:00,2025-02-24 00:10:00,2025-02-24 00:10:00,549.8166,0.0,False,False
2025-02-25,1,3552.7178,0.0,0.4872,56,2,1,False,0.0,1.0,0.8115390590073611,0.5842981736283684,0:00,2025-02-25 00:00:00,2025-02-25 00:10:00,2025-02-25 00:10:00,592.1196333333334,0.0,False,False
2025-02-26,1,3373.4506,0.0,0.3951,57,2,2,False,0.0,1.0,0.8214765533024142,0.5702422926917871,0:00,2025-02-26 00:00:00,2025-02-26 00:10:00,2025-02-26 00:10:00,562.2417666666666,0.0,False,False
2025-02-27,1,3349.53,0.0,0.4121,58,2,3,False,0.0,1.0,0.8311706263658079,0.5560174366570446,0:00,2025-02-27 00:00:00,2025-02-27 00:10:00,2025-02-27 00:10:00,558.255,0.0,False,False
2025-02-28,1,2298.0528,0.0,0.2924,59,2,4,False,0.0,1.0,0.8406184056344782,0.5416278206559814,0:00,2025-02-28 00:00:00,2025-02-28 00:10:00,2025-02-28 00:10:00,383.0088,0.0,False,False
2025-03-01,1,2600.0321,0.0,0.3078,60,3,5,True,0.0,1.0,0.8498170915275278,0.5270777086423722,0:00,2025-03-01 00:00:00,2025-03-01 00:10:00,2025-03-01 00:10:00,433.33868333333334,0.0,False,False
2025-03-02,1,3361.4819,0.0,0.4345,61,3,6,True,0.0,1.0,0.8587639582758029,0.5123714121284237,0:00,2025-03-02 00:00:00,2025-03-02 00:10:00,2025-03-02 00:10:00,560.2469833333333,0.0,False,False
2025-03-03,1,3424.6787,0.0,0.3818,62,3,0,False,0.0,1.0,0.8674563547295969,0.49751328890718066,0:00,2025-03-03 00:00:00,2025-03-03 00:10:00,2025-03-03 00:10:00,570.7797833333333,0.0,False,False
2025-03-04,1,3407.0972,0.0,0.4476,63,3,1,False,0.0,1.0,0.8758917051442429,0.48250774176121847,0:00,2025-03-04 00:00:00,2025-03-04 00:10:00,2025-03-04 00:10:00,567.8495333333334,0.0,False,False
2025-03-05,1,3411.259,0.0,0.3979,64,3,2,False,0.0,1.0,0.8840675099433636,0.4673592171580022,0:00,2025-03-05 00:00:00,2025-03-05 00:10:00,2025-03-05 00:10:00,568.5431666666667,0.0,False,False
2025-03-06,1,3401.6642,0.0,0.4214,65,3,3,False,0.0,1.0,0.8919813464595485,0.45207220393230435,0:00,2025-03-06 00:00:00,2025-03-06 00:10:00,2025-03-06 00:10:00,566.9440333333333,0.0,False,False
2025-03-07,1,2572.0153,0.0,0.3619,66,3,4,False,0.0,1.0,0.8996308696522433,0.43665123195606403,0:00,2025-03-07 00:00:00,2025-03-07 00:10:00,2025-03-07 00:10:00,428.66921666666667,0.0,False,False
2025-03-08,1,2516.5725,0.0,0.3458,67,3,5,True,0.0,1.0,0.9070138128026359,0.4211008707960896,0:00,2025-03-08 00:00:00,2025-03-08 00:10:00,2025-03-08 00:10:00,419.42875000000004,0.0,False,False
2025-03-09,1,3292.478,0.0,0.4215,68,3,6,True,0.0,1.0,0.9141279881853337,0.40542572835999735,0:00,2025-03-09 00:00:00,2025-03-09 00:10:00,2025-03-09 00:10:00,548.7463333333334,0.0,False,False
2025-03-10,1,3488.6651,0.0,0.4096,69,3,0,False,0.0,1.0,0.9209712877166346,0.38963044953078796,0:00,2025-03-10 00:00:00,2025-03-10 00:10:00,2025-03-10 00:10:00,581.4441833333334,0.0,False,False
2025-03-11,1,3510.7186,0.0,0.4865,70,3,1,False,0.0,1.0,0.9275416835791966,0.37371971479046906,0:00,2025-03-11 00:00:00,2025-03-11 00:10:00,2025-03-11 00:10:00,585.1197666666667,0.0,False,False
2025-03-12,1,3321.6259,0.0,0.407,71,3,2,False,0.0,1.0,0.9338372288229252,0.35769823883312546,0:00,2025-03-12 00:00:00,2025-03-12 00:10:00,2025-03-12 00:10:00,553.6043166666667,0.0,False,False
2025-03-13,1,3617.1514,0.0,0.4376,72,3,3,False,0.0,1.0,0.9398560579418954,0.3415707691678556,0:00,2025-03-13 00:00:00,2025-03-13 00:10:00,2025-03-13 00:10:00,602.8585666666667,0.0,False,False
2025-03-14,1,2355.0261,0.0,0.3076,73,3,4,False,0.0,1.0,0.9455963874271426,0.3253420847119801,0:00,2025-03-14 00:00:00,2025-03-14 00:10:00,2025-03-14 00:10:00,392.50435,0.0,False,False
2025-03-15,1,2545.3728,0.0,0.3796,74,3,5,True,0.0,1.0,0.9510565162951535,0.30901699437494745,0:00,2025-03-15 00:00:00,2025-03-15 00:10:00,2025-03-15 00:10:00,424.22880000000004,0.0,False,False
2025-03-16,1,3473.5801,0.0,0.4638,75,3,6,True,0.0,1.0,0.9562348265919056,0.29260033563334836,0:00,2025-03-16 00:00:00,2025-03-16 00:10:00,2025-03-16 00:10:00,578.9300166666667,0.0,False,False
2025-03-17,1,3395.9681,0.0,0.4193,76,3,0,False,0.0,1.0,0.9611297838723007,0.27609697309746883,0:00,2025-03-17 00:00:00,2025-03-17 00:10:00,2025-03-17 00:10:00,565.9946833333333,0.0,False,False
2025-03-18,1,3306.312,0.0,0.4056,77,3,1,False,0.0,1.0,0.9657399376548549,0.2595117970697999,0:00,2025-03-18 00:00:00,2025-03-18 00:10:00,2025-03-18 00:10:00,551.052,0.0,False,False
2025-03-19,1,3431.2079,0.0,0.4301,78,3,2,False,0.0,1.0,0.9700639218515071,0.2428497220959356,0:00,2025-03-19 00:00:00,2025-03-19 00:10:00,2025-03-19 00:10:00,571.8679833333333,0.0,False,False
2025-03-20,1,3299.0689,0.0,0.4487,79,3,3,False,0.0,1.0,0.9741004551724205,0.22611568550828828,0:00,2025-03-20 00:00:00,2025-03-20 00:10:00,2025-03-20 00:10:00,549.8448166666667,0.0,False,False
2025-03-21,1,2359.4277,0.0,0.3172,80,3,4,False,0.0,1.0,0.9778483415056568,0.20931464596304847,0:00,2025-03-21 00:00:00,2025-03-21 00:10:00,2025-03-21 00:10:00,393.23795,0.0,False,False
2025-03-22,1,2430.3122,0.0,0.2868,81,3,5,True,0.0,1.0,0.9813064702716093,0.19245158197082998,0:00,2025-03-22 00:00:00,2025-03-22 00:10:00,2025-03-22 00:10:00,405.0520333333333,0.0,False,False
2025-03-23,1,3450.6115,0.0,0.3978,82,3,6,True,0.0,1.0,0.9844738167520922,0.1755314904214282,0:00,2025-03-23 00:00:00,2025-03-23 00:10:00,2025-03-23 00:10:00,575.1019166666666,0.0,False,False
2025-03-24,1,3547.3049,0.0,0.4427,83,3,0,False,0.0,1.0,0.9873494423939864,0.15855938510313475,0:00,2025-03-24 00:00:00,2025-03-24 00:10:00,2025-03-24 00:10:00,591.2174833333333,0.0,False,False
2025-03-25,1,3443.9236,0.0,0.4137,84,3,1,False,0.0,1.0,0.989932495087353,0.141540295217043,0:00,2025-03-25 00:00:00,2025-03-25 00:10:00,2025-03-25 00:10:00,573.9872666666666,0.0,False,False
2025-03-26,1,3288.8805,0.0,0.4297,85,3,2,False,0.0,1.0,0.9922222094179323,0.12447926388678915,0:00,2025-03-26 00:00:00,2025-03-26 00:10:00,2025-03-26 00:10:00,548.14675,0.0,False,False
2025-03-27,1,3344.1586,0.0,0.4094,86,3,3,False,0.0,1.0,0.994217906893952,0.10738134666416309,0:00,2025-03-27 00:00:00,2025-03-27 00:10:00,2025-03-27 00:10:00,557.3597666666667,0.0,False,False
2025-03-28,1,2320.9786,0.0,0.3323,87,3,4,False,0.0,1.0,0.995918996147179,0.09025161003104117,0:00,2025-03-28 00:00:00,2025-03-28 00:10:00,2025-03-28 00:10:00,386.82976666666667,0.0,False,False
2025-03-29,1,2589.6557,0.0,0.3311,88,3,5,True,0.0,1.0,0.9973249731081555,0.07309512989807777,0:00,2025-03-29 00:00:00,2025-03-29 00:10:00,2025-03-29 00:10:00,431.6092833333333,0.0,False,False
2025-03-30,1,3585.3895,0.0,0.4365,89,3,6,True,0.0,1.0,0.9984354211555643,0.055916990100603484,0:00,2025-03-30 00:00:00,2025-03-30 00:10:00,2025-03-30 00:10:00,597.5649166666667,0.0,False,False
2025-03-31,1,3575.6323,0.0,0.4131,90,3,0,False,0.0,1.0,0.9992500112396835,0.03872228089217446,0:00,2025-03-31 00:00:00,2025-03-31 00:10:00,2025-03-31 00:10:00,595.9387166666667,0.0,False,False
2025-04-01,1,3533.6798,0.0,0.4439,91,4,1,False,0.0,1.0,0.9997685019798909,0.021516097436222254,0:00,2025-04-01 00:00:00,2025-04-01 00:10:00,2025-04-01 00:10:00,588.9466333333334,0.0,False,False
2025-04-02,1,3564.2691,0.0,0.4443,92,4,2,False,0.0,1.0,0.9999907397361901,0.004303538296244289,0:00,2025-04-02 00:00:00,2025-04-02 00:10:00,2025-04-02 00:10:00,594.04485,0.0,False,False
2025-04-03,1,3404.4367,0.0,0.4026,93,4,3,False,0.0,1.0,0.9999166586547379,-0.01291029607500882,0:00,2025-04-03 00:00:00,2025-04-03 00:10:00,2025-04-03 00:10:00,567.4061166666667,0.0,False,False
2025-04-04,1,2288.9737,0.0,0.2995,94,4,4,False,0.0,1.0,0.9995462806873573,-0.030120304846908114,0:00,2025-04-04 00:00:00,2025-04-04 00:10:00,2025-04-04 00:10:00,381.49561666666665,0.0,False,False
2025-04-05,1,2313.0806,0.0,0.3292,95,4,5,True,0.0,1.0,0.9988797155850336,-0.04732138832243185,0:00,2025-04-05 00:00:00,2025-04-05 00:10:00,2025-04-05 00:10:00,385.5134333333333,0.0,False,False
2025-04-06,1,3398.2558,0.0,0.4693,96,4,6,True,0.0,1.0,0.9979171608653922,-0.06450844944931623,0:00,2025-04-06 00:00:00,2025-04-06 00:10:00,2025-04-06 00:10:00,566.3759666666666,0.0,False,False
2025-04-07,1,3358.3526,0.0,0.4325,97,4,0,False,0.0,1.0,0.9966589017541702,-0.08167639533042241,0:00,2025-04-07 00:00:00,2025-04-07 00:10:00,2025-04-07 00:10:00,559.7254333333334,0.0,False,False
2025-04-08,1,3587.5611,0.0,0.447,98,4,1,False,0.0,1.0,0.9951053111006976,-0.09882013873287143,0:00,2025-04-08 00:00:00,2025-04-08 00:10:00,2025-04-08 00:10:00,597.92685,0.0,False,False
2025-04-09,1,3448.2221,0.0,0.4143,99,4,2,False,0.0,1.0,0.9932568492674143,-0.11593459959550041,0:00,2025-04-09 00:00:00,2025-04-09 00:10:00,2025-04-09 00:10:00,574.7036833333333,0.0,False,False
2025-04-10,1,3293.9067,0.0,0.3872,100,4,3,False,0.0,1.0,0.9911140639934547,-0.1330147065341959,0:00,2025-04-10 00:00:00,2025-04-10 00:10:00,2025-04-10 00:10:00,548.98445,0.0,False,False
2025-04-11,1,2343.2886,0.0,0.361,101,4,4,False,0.0,1.0,0.9886775902323405,-0.1500553983446526,0:00,2025-04-11 00:00:00,2025-04-11 00:10:00,2025-04-11 00:10:00,390.5481,0.0,False,False
2025-04-12,1,2403.9977,0.0,0.2543,102,4,5,True,0.0,1.0,0.9859481499638304,-0.16705162550211924,0:00,2025-04-12 00:00:00,2025-04-12 00:10:00,2025-04-12 00:10:00,400.6662833333333,0.0,False,False
2025-04-13,1,3500.9734,0.0,0.4849,103,4,6,True,0.0,1.0,0.9829265519799822,-0.18399835165768005,0:00,2025-04-13 00:00:00,2025-04-13 00:10:00,2025-04-13 00:10:00,583.4955666666666,0.0,False,False
2025-04-14,1,3253.7645,0.0,0.4065,104,4,0,False,0.0,1.0,0.9796136916454901,-0.20089055513063506,0:00,2025-04-14 00:00:00,2025-04-14 00:10:00,2025-04-14 00:10:00,542.2940833333333,0.0,False,False
2025-04-15,1,3393.4435,0.0,0.456,105,4,1,False,0.0,1.0,0.9760105506323683,-0.21772323039653177,0:00,2025-04-15 00:00:00,2025-04-15 00:10:00,2025-04-15 00:10:00,565.5739166666666,0.0,False,False
2025-04-16,1,3410.4015,0.0,0.4047,106,4,2,False,0.0,1.0,0.9721181966290613,-0.23449138957040985,0:00,2025-04-16 00:00:00,2025-04-16 00:10:00,2025-04-16 00:10:00,568.40025,0.0,False,False
2025-04-17,1,3350.8639,0.0,0.4519,107,4,3,False,0.0,1.0,0.9679377830240642,-0.25119006388481935,0:00,2025-04-17 00:00:00,2025-04-17 00:10:00,2025-04-17 00:10:00,558.4773166666666,0.0,False,False
2025-04-18,1,2427.4102,0.0,0.3477,108,4,4,False,0.0,1.0,0.9634705485641488,-0.2678143051621742,0:00,2025-04-18 00:00:00,2025-04-18 00:10:00,2025-04-18 00:10:00,404.56836666666663,0.0,False,False
2025-04-19,1,2602.7429,0.0,0.3478,109,4,5,True,0.0,1.0,0.9587178169872964,-0.2843591872810034,0:00,2025-04-19 00:00:00,2025-04-19 00:10:00,2025-04-19 00:10:00,433.7904833333334,0.0,False,False
2025-04-20,1,3406.0222,0.0,0.4216,110,4,6,True,0.0,1.0,0.9536809966304457,-0.30081980763566735,0:00,2025-04-20 00:00:00,2025-04-20 00:10:00,2025-04-20 00:10:00,567.6703666666666,0.0,False,False
2025-04-21,1,3462.3791,0.0,0.4596,111,4,0,False,0.0,1.0,0.9483615800121715,-0.3171912885891061,0:00,2025-04-21 00:00:00,2025-04-21 00:10:00,2025-04-21 00:10:00,577.0631833333333,0.0,False,False
2025-04-22,1,3359.0032,0.0,0.4219,112,4,1,False,0.0,1.0,0.9427611433904207,-0.3334687789181868,0:00,2025-04-22 00:00:00,2025-04-22 00:10:00,2025-04-22 00:10:00,559.8338666666667,0.0,False,False
2025-04-23,1,3636.2405,0.0,0.4714,113,4,2,False,0.0,1.0,0.9368813462954315,-0.3496474552512284,0:00,2025-04-23 00:00:00,2025-04-23 00:10:00,2025-04-23 00:10:00,606.0400833333333,0.0,False,False
2025-04-24,1,3503.3495,0.0,0.4346,114,4,3,False,0.0,1.0,0.9307239310379795,-0.36572252349726897,0:00,2025-04-24 00:00:00,2025-04-24 00:10:00,2025-04-24 00:10:00,583.8915833333333,0.0,False,False
2025-04-25,1,2415.768,0.0,0.3035,115,4,4,False,0.0,1.0,0.9242907221930933,-0.3816892202666588,0:00,2025-04-25 00:00:00,2025-04-25 00:10:00,2025-04-25 00:10:00,402.628,0.0,False,False
2025-04-26,1,2361.9963,0.0,0.3049,116,4,5,True,0.0,1.0,0.9175836260593937,-0.39754281428255595,0:00,2025-04-26 00:00:00,2025-04-26 00:10:00,2025-04-26 00:10:00,393.66605,0.0,False,False
2025-04-27,1,3333.9964,0.0,0.3905,117,4,6,True,0.0,1.0,0.9106046300942162,-0.4132786077829042,0:00,2025-04-27 00:00:00,2025-04-27 00:10:00,2025-04-27 00:10:00,555.6660666666667,0.0,False,False
2025-04-28,1,3529.6765,0.0,0.4419,118,4,0,False,0.0,1.0,0.9033558023246845,-0.4288919379124835,0:00,2025-04-28 00:00:00,2025-04-28 00:10:00,2025-04-28 00:10:00,588.2794166666666,0.0,False,False
2025-04-29,1,3409.9503,0.0,0.4591,119,4,1,False,0.0,1.0,0.895839290734909,-0.4443781781046132,0:00,2025-04-29 00:00:00,2025-04-29 00:10:00,2025-04-29 00:10:00,568.32505,0.0,False,False
2025-04-30,1,3499.9191,0.0,0.4072,120,4,2,False,0.0,1.0,0.8880573226294932,-0.45973273945210397,0:00,2025-04-30 00:00:00,2025-04-30 00:10:00,2025-04-30 00:10:00,583.31985,0.0,False,False
2025-05-01,1,3587.1893,0.0,0.4868,121,5,3,False,0.0,1.0,0.8800122039735357,-0.47495107206704995,0:00,2025-05-01 00:00:00,2025-05-01 00:10:00,2025-05-01 00:10:00,597.8648833333333,0.0,False,False
2025-05-02,1,2519.1235,0.0,0.3549,122,5,4,False,0.0,1.0,0.8717063187093218,-0.4900286664290592,0:00,2025-05-02 00:00:00,2025-05-02 00:10:00,2025-05-02 00:10:00,419.8539166666667,0.0,False,False
2025-05-03,1,2474.8848,0.0,0.3441,123,5,5,True,0.0,1.0,0.8631421280499114,-0.5049610547215204,0:00,2025-05-03 00:00:00,2025-05-03 00:10:00,2025-05-03 00:10:00,412.4808,0.0,False,False
2025-05-04,1,3600.878,0.0,0.406,124,5,6,True,0.0,1.0,0.854322169749827,-0.5197438121555155,0:00,2025-05-04 00:00:00,2025-05-04 00:10:00,2025-05-04 00:10:00,600.1463333333334,0.0,False,False
2025-05-05,1,3724.6146,0.0,0.4405,125,5,0,False,0.0,1.0,0.8452490573530633,-0.5343725582809786,0:00,2025-05-05 00:00:00,2025-05-05 00:10:00,2025-05-05 00:10:00,620.7691,0.0,False,False
