date,slot,load_kw,pv_actual_kw,price_yuan_per_kwh,day_of_year,month,weekday,is_weekend,sin_time,cos_time,sin_doy,cos_doy,time_label,interval_start,interval_end,timestamp_end,load_kwh,pv_actual_kwh,pv_positive,is_daylight
2025-01-01,1,3529.7296,0.0,0.4527,1,1,2,False,0.0,1.0,0.0,1.0,0:00,2025-01-01,2025-01-01 00:10:00,2025-01-01 00:10:00,588.2882666666667,0.0,False,False
2025-01-02,1,3622.5509,0.0,0.3809,2,1,3,False,0.0,1.0,0.017213356155834685,0.9998518392091162,0:00,2025-01-02,2025-01-02 00:10:00,2025-01-02 00:10:00,603.7584833333334,0.0,False,False
2025-01-03,1,2954.3509,0.0,0.4323,3,1,4,False,0.0,1.0,0.03442161162274574,0.9994074007397048,0:00,2025-01-03,2025-01-03 00:10:00,2025-01-03 00:10:00,492.39181666666667,0.0,False,False
2025-01-04,1,2696.7943,0.0,0.354,4,1,5,True,0.0,1.0,0.051619667223253764,0.998666816288476,0:00,2025-01-04,2025-01-04 00:10:00,2025-01-04 00:10:00,449.46571666666665,0.0,False,False
2025-01-05,1,3749.1135,0.0,0.513,5,1,6,True,0.0,1.0,0.06880242680231986,0.9976303053065857,0:00,2025-01-05,2025-01-05 00:10:00,2025-01-05 00:10:00,624.85225,0.0,False,False
2025-01-06,1,3644.3668,0.0,0.4137,6,1,0,False,0.0,1.0,0.08596479873744647,0.9962981749346078,0:00,2025-01-06,2025-01-06 00:10:00,2025-01-06 00:10:00,607.3944666666666,0.0,False,False
2025-01-07,1,3741.011,0.0,0.451,7,1,1,False,0.0,1.0,0.10310169744743485,0.9946708199115211,0:00,2025-01-07,2025-01-07 00:10:00,2025-01-07 00:10:00,623.5018333333334,0.0,False,False
2025-01-08,1,3804.6827,0.0,0.4812,8,1,2,False,0.0,1.0,0.1202080448993527,0.9927487224577402,0:00,2025-01-08,2025-01-08 00:10:00,2025-01-08 00:10:00,634.1137833333333,0.0,False,False
2025-01-09,1,3561.7974,0.0,0.4191,9,1,3,False,0.0,1.0,0.13727877211326478,0.9905324521322229,0:00,2025-01-09,2025-01-09 00:10:00,2025-01-09 00:10:00,593.6329,0.0,False,False
2025-01-10,1,2591.3421,0.0,0.312,10,1,4,False,0.0,1.0,0.15430882066428117,0.9880226656636976,0:00,2025-01-10,2025-01-10 00:10:00,2025-01-10 00:10:00,431.89034999999996,0.0,False,False
2025-01-11,1,2614.5757,0.0,0.3144,11,1,5,True,0.0,1.0,0.1712931441814776,0.9852201067560606,0:00,2025-01-11,2025-01-11 00:10:00,2025-01-11 00:10:00,435.76261666666664,0.0,False,False
2025-01-12,1,3947.6871,0.0,0.448,12,1,6,True,0.0,1.0,0.1882267098432442,0.9821256058680006,0:00,2025-01-12,2025-01-12 00:10:00,2025-01-12 00:10:00,657.94785,0.0,False,False
2025-01-13,1,3664.8226,0.0,0.5009,13,1,0,False,0.0,1.0,0.2051044998686192,0.9787400799669153,0:00,2025-01-13,2025-01-13 00:10:00,2025-01-13 00:10:00,610.8037666666667,0.0,False,False
2025-01-14,1,3697.9759,0.0,0.4435,14,1,1,False,0.0,1.0,0.2219215130041655,0.9750645322571948,0:00,2025-01-14,2025-01-14 00:10:00,2025-01-14 00:10:00,616.3293166666666,0.0,False,False
2025-01-15,1,3620.6386,0.0,0.4662,15,1,2,False,0.0,1.0,0.2386727660059501,0.9711000518829505,0:00,2025-01-15,2025-01-15 00:10:00,2025-01-15 00:10:00,603.4397666666667,0.0,False,False
2025-01-16,1,3526.9471,0.0,0.4046,16,1,3,False,0.0,1.0,0.255353295116187,0.9668478136052775,0:00,2025-01-16,2025-01-16 00:10:00,2025-01-16 00:10:00,587.8245166666667,0.0,False,False
2025-01-17,1,2257.2766,0.0,0.3211,17,1,4,False,0.0,1.0,0.2719581575341055,0.9623090774541486,0:00,2025-01-17,2025-01-17 00:10:00,2025-01-17 00:10:00,376.2127666666667,0.0,False,False
2025-01-18,1,2697.4268,0.0,0.3638,18,1,5,True,0.0,1.0,0.288482432880609,0.9574851883550393,0:00,2025-01-18,2025-01-18 00:10:00,2025-01-18 00:10:00,449.57113333333336,0.0,False,False
2025-01-19,1,3821.1868,0.0,0.4729,19,1,6,True,0.0,1.0,0.30492122465628907,0.9523775757303974,0:00,2025-01-19,2025-01-19 00:10:00,2025-01-19 00:10:00,636.8644666666667,0.0,False,False
2025-01-20,1,3637.3248,0.0,0.4984,20,1,0,False,0.0,1.0,0.3212696616923644,0.9469877530760753,0:00,2025-01-20,2025-01-20 00:10:00,2025-01-20 00:10:00,606.2207999999999,0.0,False,False
