date,issue_time,issue_datetime,horizon_hour,target_datetime,pv_forecast_kw
2025-01-01,0:00,2025-01-01 00:00:00,1,2025-01-01 01:00:00,0.0
2025-01-01,0:00,2025-01-01 00:00:00,2,2025-01-01 02:00:00,0.0
2025-01-01,0:00,2025-01-01 00:00:00,3,2025-01-01 03:00:00,0.0
2025-01-01,0:00,2025-01-01 00:00:00,4,2025-01-01 04:00:00,0.0
2025-01-01,0:00,2025-01-01 00:00:00,5,2025-01-01 05:00:00,0.0
2025-01-01,0:00,2025-01-01 00:00:00,6,2025-01-01 06:00:00,0.0
2025-01-01,0:00,2025-01-01 00:00:00,7,2025-01-01 07:00:00,3.1173
2025-01-01,0:00,2025-01-01 00:00:00,8,2025-01-01 08:00:00,1603.3305
2025-01-01,0:00,2025-01-01 00:00:00,9,2025-01-01 09:00:00,3409.0929
2025-01-01,0:00,2025-01-01 00:00:00,10,2025-01-01 10:00:00,4871.2875
2025-01-01,0:00,2025-01-01 00:00:00,11,2025-01-01 11:00:00,5785.111
2025-01-01,0:00,2025-01-01 00:00:00,12,2025-01-01 12:00:00,5737.1717
2025-01-01,0:00,2025-01-01 00:00:00,13,2025-01-01 13:00:00,6047.3964
2025-01-01,0:00,2025-01-01 00:00:00,14,2025-01-01 14:00:00,4687.1165
2025-01-01,0:00,2025-01-01 00:00:00,15,2025-01-01 15:00:00,3572.6529
2025-01-01,0:00,2025-01-01 00:00:00,16,2025-01-01 16:00:00,1629.9964
2025-01-01,0:00,2025-01-01 00:00:00,17,2025-01-01 17:00:00,3.1956
2025-01-01,0:00,2025-01-01 00:00:00,18,2025-01-01 18:00:00,0.0
2025-01-01,0:00,2025-01-01 00:00:00,19,2025-01-01 19:00:00,0.0
2025-01-01,0:00,2025-01-01 00:00:00,20,2025-01-01 20:00:00,0.0
2025-01-01,0:00,2025-01-01 00:00:00,21,2025-01-01 21:00:00,0.0
2025-01-01,0:00,2025-01-01 00:00:00,22,2025-01-01 22:00:00,0.0
2025-01-01,0:00,2025-01-01 00:00:00,23,2025-01-01 23:00:00,0.0
2025-01-01,0:00,2025-01-01 00:00:00,24,2025-01-02 00:00:00,0.0
2025-01-01,6:00,2025-01-01 06:00:00,1,2025-01-01 07:00:00,3.0919
2025-01-01,6:00,2025-01-01 06:00:00,2,2025-01-01 08:00:00,1588.7839
2025-01-01,6:00,2025-01-01 06:00:00,3,2025-01-01 09:00:00,3297.9893
2025-01-01,6:00,2025-01-01 06:00:00,4,2025-01-01 10:00:00,4692.2274
2025-01-01,6:00,2025-01-01 06:00:00,5,2025-01-01 11:00:00,5220.3894
2025-01-01,6:00,2025-01-01 06:00:00,6,2025-01-01 12:00:00,5078.6992
2025-01-01,6:00,2025-01-01 06:00:00,7,2025-01-01 13:00:00,5314.2003
2025-01-01,6:00,2025-01-01 06:00:00,8,2025-01-01 14:00:00,4833.7142
2025-01-01,6:00,2025-01-01 06:00:00,9,2025-01-01 15:00:00,3588.0375
2025-01-01,6:00,2025-01-01 06:00:00,10,2025-01-01 16:00:00,1660.0369
2025-01-01,6:00,2025-01-01 06:00:00,11,2025-01-01 17:00:00,3.0359
2025-01-01,6:00,2025-01-01 06:00:00,12,2025-01-01 18:00:00,0.0
2025-01-01,6:00,2025-01-01 06:00:00,13,2025-01-01 19:00:00,0.0
2025-01-01,6:00,2025-01-01 06:00:00,14,2025-01-01 20:00:00,0.0
2025-01-01,6:00,2025-01-01 06:00:00,15,2025-01-01 21:00:00,0.0
2025-01-01,6:00,2025-01-01 06:00:00,16,2025-01-01 22:00:00,0.0
2025-01-01,6:00,2025-01-01 06:00:00,17,2025-01-01 23:00:00,0.0
2025-01-01,6:00,2025-01-01 06:00:00,18,2025-01-02 00:00:00,0.0
2025-01-01,6:00,2025-01-01 06:00:00,19,2025-01-02 01:00:00,0.0
2025-01-01,6:00,2025-01-01 06:00:00,20,2025-01-02 02:00:00,0.0
2025-01-01,6:00,2025-01-01 06:00:00,21,2025-01-02 03:00:00,0.0
2025-01-01,6:00,2025-01-01 06:00:00,22,2025-01-02 04:00:00,0.0
2025-01-01,6:00,2025-01-01 06:00:00,23,2025-01-02 05:00:00,0.0
2025-01-01,6:00,2025-01-01 06:00:00,24,2025-01-02 06:00:00,0.0
2025-01-01,12:00,2025-01-01 12:00:00,1,2025-01-01 13:00:00,5330.4298
2025-01-01,12:00,2025-01-01 12:00:00,2,2025-01-01 14:00:00,4549.2579
