slot,source_time_label,interval_start,interval_end,price_yuan_per_kwh,load_kw,load_kwh,pv_forecast_kw,pv_forecast_kwh
1,00:10:00,00:10,00:20,0.4248,3439.8466,573.3077666666667,0.0,0.0
2,00:20:00,00:20,00:30,0.4245,3437.9792,572.9965333333333,0.0,0.0
3,00:30:00,00:30,00:40,0.4269,3444.3031,574.0505166666667,0.0,0.0
4,00:40:00,00:40,00:50,0.4272,3454.4437,575.7406166666666,0.0,0.0
5,00:50:00,00:50,01:00,0.4271,3458.8273,576.4712166666667,0.0,0.0
6,01:00:00,01:00,01:10,0.4285,3459.8401,576.6400166666666,0.0,0.0
7,01:10:00,01:10,01:20,0.4311,3467.1582,577.8597,0.0,0.0
8,01:20:00,01:20,01:30,0.4302,3467.9632,577.9938666666667,0.0,0.0
9,01:30:00,01:30,01:40,0.4279,3466.9683,577.82805,0.0,0.0
10,01:40:00,01:40,01:50,0.4312,3482.4927,580.41545,0.0,0.0
11,01:50:00,01:50,02:00,0.4333,3495.0841,582.5140166666666,0.0,0.0
12,02:00:00,02:00,02:10,0.4311,3498.4443,583.07405,0.0,0.0
13,02:10:00,02:10,02:20,0.4293,3505.2295,584.2049166666667,0.0,0.0
14,02:20:00,02:20,02:30,0.4324,3512.6387,585.4397833333334,0.0,0.0
15,02:30:00,02:30,02:40,0.4367,3516.8685,586.14475,0.0,0.0
16,02:40:00,02:40,02:50,0.4348,3517.9246,586.3207666666666,0.0,0.0
17,02:50:00,02:50,03:00,0.4335,3518.5518,586.4253,0.0,0.0
18,03:00:00,03:00,03:10,0.4357,3521.0976,586.8496,0.0,0.0
19,03:10:00,03:10,03:20,0.4374,3526.9261,587.8210166666667,0.0,0.0
20,03:20:00,03:20,03:30,0.4371,3537.2854,589.5475666666667,0.0,0.0
21,03:30:00,03:30,03:40,0.4356,3544.8808,590.8134666666666,0.0,0.0
22,03:40:00,03:40,03:50,0.4353,3541.2787,590.2131166666667,0.0,0.0
23,03:50:00,03:50,04:00,0.436,3546.3976,591.0662666666666,0.0,0.0
24,04:00:00,04:00,04:10,0.4378,3560.207,593.3678333333334,0.0,0.0
25,04:10:00,04:10,04:20,0.4401,3561.9581,593.6596833333333,0.0,0.0
26,04:20:00,04:20,04:30,0.4389,3556.7183,592.7863833333333,0.0,0.0
27,04:30:00,04:30,04:40,0.4364,3560.0272,593.3378666666666,0.0,0.0
28,04:40:00,04:40,04:50,0.4393,3580.654,596.7756666666667,0.5994,0.0999
29,04:50:00,04:50,05:00,0.4422,3586.916,597.8193333333334,0.2345,0.03908333333333333
30,05:00:00,05:00,05:10,0.4395,3571.2635,595.2105833333334,0.2885,0.04808333333333333
31,05:10:00,05:10,05:20,0.4333,3562.3171,593.7195166666667,18.6781,3.1130166666666668
32,05:20:00,05:20,05:30,0.4439,3591.3809,598.5634833333334,54.4698,9.0783
33,05:30:00,05:30,05:40,0.4301,3579.7045,596.6174166666666,108.9718,18.161966666666668
34,05:40:00,05:40,05:50,0.3713,3486.119,581.0198333333334,184.1603,30.693383333333333
35,05:50:00,05:50,06:00,0.5708,3823.8994,637.3165666666666,277.0582,46.17636666666667
36,06:00:00,06:00,06:10,0.9099,4398.0727,733.0121166666667,388.5494,64.75823333333334
37,06:10:00,06:10,06:20,0.9368,4454.0123,742.3353833333334,521.2803,86.88005
38,06:20:00,06:20,06:30,0.8758,4371.7919,728.6319833333333,672.7677,112.12795
39,06:30:00,06:30,06:40,0.8759,4392.953,732.1588333333334,844.2261,140.70435
40,06:40:00,06:40,06:50,0.8601,4384.5956,730.7659333333332,1039.6744,173.2790666666667
41,06:50:00,06:50,07:00,0.8442,4434.7757,739.1292833333333,1259.3375,209.88958333333335
42,07:00:00,07:00,07:10,0.8334,4523.4561,753.90935,1508.6318,251.43863333333334
43,07:10:00,07:10,07:20,0.8092,4524.0721,754.0120166666667,1791.4107,298.56845
