date,slot,load_kw,pv_actual_kw,price_yuan_per_kwh,day_of_year,month,weekday,is_weekend,sin_time,cos_time,sin_doy,cos_doy,time_label,interval_start,interval_end,timestamp_end,load_kwh,pv_actual_kwh,pv_positive,is_daylight
2025-01-01,1,3529.7296,0.0,0.4527,1,1,2,False,0.0,1.0,0.0,1.0,0:00,2025-01-01 00:00:00,2025-01-01 00:10:00,2025-01-01 00:10:00,588.2882666666667,0.0,False,False
2025-01-02,1,3622.5509,0.0,0.3809,2,1,3,False,0.0,1.0,0.017213356155834685,0.9998518392091162,0:00,2025-01-02 00:00:00,2025-01-02 00:10:00,2025-01-02 00:10:00,603.7584833333334,0.0,False,False
2025-01-03,1,2954.3509,0.0,0.4323,3,1,4,False,0.0,1.0,0.03442161162274574,0.9994074007397048,0:00,2025-01-03 00:00:00,2025-01-03 00:10:00,2025-01-03 00:10:00,492.39181666666667,0.0,False,False
2025-01-04,1,2696.7943,0.0,0.354,4,1,5,True,0.0,1.0,0.051619667223253764,0.998666816288476,0:00,2025-01-04 00:00:00,2025-01-04 00:10:00,2025-01-04 00:10:00,449.46571666666665,0.0,False,False
2025-01-05,1,3749.1135,0.0,0.513,5,1,6,True,0.0,1.0,0.06880242680231986,0.9976303053065857,0:00,2025-01-05 00:00:00,2025-01-05 00:10:00,2025-01-05 00:10:00,624.85225,0.0,False,False
2025-01-06,1,3644.3668,0.0,0.4137,6,1,0,False,0.0,1.0,0.08596479873744647,0.9962981749346078,0:00,2025-01-06 00:00:00,2025-01-06 00:10:00,2025-01-06 00:10:00,607.3944666666666,0.0,False,False
2025-01-07,1,3741.011,0.0,0.451,7,1,1,False,0.0,1.0,0.10310169744743485,0.9946708199115211,0:00,2025-01-07 00:00:00,2025-01-07 00:10:00,2025-01-07 00:10:00,623.5018333333334,0.0,False,False
2025-01-08,1,3804.6827,0.0,0.4812,8,1,2,False,0.0,1.0,0.1202080448993527,0.9927487224577402,0:00,2025-01-08 00:00:00,2025-01-08 00:10:00,2025-01-08 00:10:00,634.1137833333333,0.0,False,False
2025-01-09,1,3561.7974,0.0,0.4191,9,1,3,False,0.0,1.0,0.13727877211326478,0.9905324521322229,0:00,2025-01-09 00:00:00,2025-01-09 00:10:00,2025-01-09 00:10:00,593.6329,0.0,False,False
2025-01-10,1,2591.3421,0.0,0.312,10,1,4,False,0.0,1.0,0.15430882066428117,0.9880226656636976,0:00,2025-01-10 00:00:00,2025-01-10 00:10:00,2025-01-10 00:10:00,431.89034999999996,0.0,False,False
2025-01-11,1,2614.5757,0.0,0.3144,11,1,5,True,0.0,1.0,0.1712931441814776,0.9852201067560606,0:00,2025-01-11 00:00:00,2025-01-11 00:10:00,2025-01-11 00:10:00,435.76261666666664,0.0,False,False
2025-01-12,1,3947.6871,0.0,0.448,12,1,6,True,0.0,1.0,0.1882267098432442,0.9821256058680006,0:00,2025-01-12 00:00:00,2025-01-12 00:10:00,2025-01-12 00:10:00,657.94785,0.0,False,False
2025-01-13,1,3664.8226,0.0,0.5009,13,1,0,False,0.0,1.0,0.2051044998686192,0.9787400799669153,0:00,2025-01-13 00:00:00,2025-01-13 00:10:00,2025-01-13 00:10:00,610.8037666666667,0.0,False,False
2025-01-14,1,3697.9759,0.0,0.4435,14,1,1,False,0.0,1.0,0.2219215130041655,0.9750645322571948,0:00,2025-01-14 00:00:00,2025-01-14 00:10:00,2025-01-14 00:10:00,616.3293166666666,0.0,False,False
2025-01-15,1,3620.6386,0.0,0.4662,15,1,2,False,0.0,1.0,0.2386727660059501,0.9711000518829505,0:00,2025-01-15 00:00:00,2025-01-15 00:10:00,2025-01-15 00:10:00,603.4397666666667,0.0,False,False
2025-01-16,1,3526.9471,0.0,0.4046,16,1,3,False,0.0,1.0,0.255353295116187,0.9668478136052775,0:00,2025-01-16 00:00:00,2025-01-16 00:10:00,2025-01-16 00:10:00,587.8245166666667,0.0,False,False
2025-01-17,1,2257.2766,0.0,0.3211,17,1,4,False,0.0,1.0,0.2719581575341055,0.9623090774541486,0:00,2025-01-17 00:00:00,2025-01-17 00:10:00,2025-01-17 00:10:00,376.2127666666667,0.0,False,False
2025-01-18,1,2697.4268,0.0,0.3638,18,1,5,True,0.0,1.0,0.288482432880609,0.9574851883550393,0:00,2025-01-18 00:00:00,2025-01-18 00:10:00,2025-01-18 00:10:00,449.57113333333336,0.0,False,False
2025-01-19,1,3821.1868,0.0,0.4729,19,1,6,True,0.0,1.0,0.30492122465628907,0.9523775757303974,0:00,2025-01-19 00:00:00,2025-01-19 00:10:00,2025-01-19 00:10:00,636.8644666666667,0.0,False,False
2025-01-20,1,3637.3248,0.0,0.4984,20,1,0,False,0.0,1.0,0.3212696616923644,0.9469877530760753,0:00,2025-01-20 00:00:00,2025-01-20 00:10:00,2025-01-20 00:10:00,606.2207999999999,0.0,False,False
2025-01-21,1,3614.2576,0.0,0.4109,21,1,1,False,0.0,1.0,0.3375228995941133,0.9413173175128471,0:00,2025-01-21 00:00:00,2025-01-21 00:10:00,2025-01-21 00:10:00,602.3762666666667,0.0,False,False
2025-01-22,1,3445.1091,0.0,0.3719,22,1,2,False,0.0,1.0,0.3536761221763716,0.9353679493131483,0:00,2025-01-22 00:00:00,2025-01-22 00:10:00,2025-01-22 00:10:00,574.18485,0.0,False,False
2025-01-23,1,3562.1129,0.0,0.4562,23,1,3,False,0.0,1.0,0.3697245428906731,0.9291414114031743,0:00,2025-01-23 00:00:00,2025-01-23 00:10:00,2025-01-23 00:10:00,593.6854833333333,0.0,False,False
2025-01-24,1,2454.856,0.0,0.3048,24,1,4,False,0.0,1.0,0.38566340624360707,0.9226395488404876,0:00,2025-01-24 00:00:00,2025-01-24 00:10:00,2025-01-24 00:10:00,409.1426666666667,0.0,False,False
2025-01-25,1,2725.9526,0.0,0.3381,25,1,5,True,0.0,1.0,0.401487989205973,0.9158642882672872,0:00,2025-01-25 00:00:00,2025-01-25 00:10:00,2025-01-25 00:10:00,454.32543333333336,0.0,False,False
2025-01-26,1,3618.1419,0.0,0.4597,26,1,6,True,0.0,1.0,0.4171936026123168,0.9088176373395029,0:00,2025-01-26 00:00:00,2025-01-26 00:10:00,2025-01-26 00:10:00,603.02365,0.0,False,False
2025-01-27,1,3516.9328,0.0,0.4546,27,1,0,False,0.0,1.0,0.4327755925504312,0.901501684131884,0:00,2025-01-27 00:00:00,2025-01-27 00:10:00,2025-01-27 00:10:00,586.1554666666667,0.0,False,False
2025-01-28,1,3695.8008,0.0,0.5003,28,1,1,False,0.0,1.0,0.4482293417404106,0.893918596519257,0:00,2025-01-28 00:00:00,2025-01-28 00:10:00,2025-01-28 00:10:00,615.9668,0.0,False,False
2025-01-29,1,3458.6049,0.0,0.4502,29,1,2,False,0.0,1.0,0.4635502709028509,0.886070621534138,0:00,2025-01-29 00:00:00,2025-01-29 00:10:00,2025-01-29 00:10:00,576.4341499999999,0.0,False,False
2025-01-30,1,3405.0251,0.0,0.4445,30,1,3,False,0.0,1.0,0.47873384011578846,0.8779600847008882,0:00,2025-01-30 00:00:00,2025-01-30 00:10:00,2025-01-30 00:10:00,567.5041833333333,0.0,False,False
2025-01-31,1,2646.1276,0.0,0.3606,31,1,4,False,0.0,1.0,0.49377555015997715,0.869589389346611,0:00,2025-01-31 00:00:00,2025-01-31 00:10:00,2025-01-31 00:10:00,441.02126666666663,0.0,False,False
2025-01-01,2,3609.5287,0.0,0.4733,1,1,2,False,0.043619387365336,0.9990482215818578,0.0,1.0,0:10,2025-01-01 00:10:00,2025-01-01 00:20:00,2025-01-01 00:20:00,601.5881166666667,0.0,False,False
2025-01-02,2,3622.7611,0.0,0.3964,2,1,3,False,0.043619387365336,0.9990482215818578,0.017213356155834685,0.9998518392091162,0:10,2025-01-02 00:10:00,2025-01-02 00:20:00,2025-01-02 00:20:00,603.7935166666667,0.0,False,False
2025-01-03,2,2960.6102,0.0,0.4274,3,1,4,False,0.043619387365336,0.9990482215818578,0.03442161162274574,0.9994074007397048,0:10,2025-01-03 00:10:00,2025-01-03 00:20:00,2025-01-03 00:20:00,493.43503333333337,0.0,False,False
2025-01-04,2,2758.1877,0.0,0.3341,4,1,5,True,0.043619387365336,0.9990482215818578,0.051619667223253764,0.998666816288476,0:10,2025-01-04 00:10:00,2025-01-04 00:20:00,2025-01-04 00:20:00,459.69795,0.0,False,False
2025-01-05,2,3734.5244,0.0,0.4996,5,1,6,True,0.043619387365336,0.9990482215818578,0.06880242680231986,0.9976303053065857,0:10,2025-01-05 00:10:00,2025-01-05 00:20:00,2025-01-05 00:20:00,622.4207333333333,0.0,False,False
2025-01-06,2,3667.3643,0.0,0.371,6,1,0,False,0.043619387365336,0.9990482215818578,0.08596479873744647,0.9962981749346078,0:10,2025-01-06 00:10:00,2025-01-06 00:20:00,2025-01-06 00:20:00,611.2273833333334,0.0,False,False
2025-01-07,2,3710.9838,0.0,0.4223,7,1,1,False,0.043619387365336,0.9990482215818578,0.10310169744743485,0.9946708199115211,0:10,2025-01-07 00:10:00,2025-01-07 00:20:00,2025-01-07 00:20:00,618.4973,0.0,False,False
2025-01-08,2,3915.2093,0.0,0.4784,8,1,2,False,0.043619387365336,0.9990482215818578,0.1202080448993527,0.9927487224577402,0:10,2025-01-08 00:10:00,2025-01-08 00:20:00,2025-01-08 00:20:00,652.5348833333334,0.0,False,False
2025-01-09,2,3597.1481,0.0,0.4194,9,1,3,False,0.043619387365336,0.9990482215818578,0.13727877211326478,0.9905324521322229,0:10,2025-01-09 00:10:00,2025-01-09 00:20:00,2025-01-09 00:20:00,599.5246833333333,0.0,False,False
2025-01-10,2,2655.4633,0.0,0.331,10,1,4,False,0.043619387365336,0.9990482215818578,0.15430882066428117,0.9880226656636976,0:10,2025-01-10 00:10:00,2025-01-10 00:20:00,2025-01-10 00:20:00,442.57721666666663,0.0,False,False
2025-01-11,2,2752.2535,0.0,0.3628,11,1,5,True,0.043619387365336,0.9990482215818578,0.1712931441814776,0.9852201067560606,0:10,2025-01-11 00:10:00,2025-01-11 00:20:00,2025-01-11 00:20:00,458.70891666666665,0.0,False,False
2025-01-12,2,3811.5211,0.0,0.4202,12,1,6,True,0.043619387365336,0.9990482215818578,0.1882267098432442,0.9821256058680006,0:10,2025-01-12 00:10:00,2025-01-12 00:20:00,2025-01-12 00:20:00,635.2535166666667,0.0,False,False
2025-01-13,2,3796.0254,0.0,0.5089,13,1,0,False,0.043619387365336,0.9990482215818578,0.2051044998686192,0.9787400799669153,0:10,2025-01-13 00:10:00,2025-01-13 00:20:00,2025-01-13 00:20:00,632.6709,0.0,False,False
