branch,policy,date,initial_soc_kwh,actual_causal_emergency_cost_yuan,fixed_g_perfect_information_emergency_cost_yuan,causal_execution_gap_yuan,actual_emergency_purchase_kwh,perfect_information_emergency_purchase_kwh,perfect_information_terminal_soc_kwh
Q2,B1,2025-02-01,4910.116222222223,555.2538234367711,0.0,555.2538234367711,156.58798406513918,0.0,1200.0
Q2,B1,2025-02-02,1396.4820788373684,743.0572381033769,0.0,743.0572381033769,223.4229013957243,0.0,1200.0
Q2,B1,2025-02-03,1244.7245993418203,2983.4170208487158,173.83547011710638,2809.5815507316092,863.4578795117205,40.55436721215278,1200.0
Q2,B1,2025-02-04,1272.4803984207929,7146.652323303317,3816.4044046280424,3330.2479186752744,1878.9196091571966,1057.7687340924667,1200.0
Q2,B1,2025-02-05,1291.3431784406032,4016.9176309576237,1853.7931127972467,2163.124518160377,1160.1324791202655,511.91415814292014,1200.0
Q2,B1,2025-02-06,1200.0,2646.516408097615,318.8090577166665,2327.707350380949,842.5461786258429,54.7670333333333,1200.0
Q2,B1,2025-02-07,1224.277654258047,522.7161052461701,161.6432157104198,361.0728895357503,182.03608498369246,35.05004497627708,1200.0
Q2,B1,2025-02-08,1200.0,5164.509869067304,1845.9948696518177,3318.5149994154863,1643.9053932190302,477.970640258663,1200.0
Q2,B1,2025-02-09,1200.0,12035.278003231011,10737.556236077402,1297.721767153609,3585.3029962100863,3192.7862155855028,1200.0
Q2,B1,2025-02-10,1200.0,2166.2123516655784,698.0387254644772,1468.1736262011011,764.2445366541981,235.94895184632566,1200.0
Q2,B1,2025-02-11,1200.0,4071.318903022129,2592.729526309728,1478.5893767124007,938.6833373105168,450.56194154613775,1200.0
Q2,B1,2025-02-12,1200.0,5094.40787689162,3462.2117448690105,1632.1961320226092,1291.3910480350814,777.6284799824672,1200.0
Q2,B1,2025-02-13,1200.0,4617.35059317366,2095.981395430147,2521.369197743513,1283.5010895169676,355.2872293541534,1200.0
