period,issue_hour,forecast_type,region,observations,mae_kw,rmse_kw
formal_2025-02-01_2025-12-31,0,legacy_10min_bfill,after_first_50_minutes,46426,204.59496431453638,389.85503691532375
formal_2025-02-01_2025-12-31,0,legacy_10min_bfill,all_available_targets,48096,197.49097249805945,383.0269248527167
formal_2025-02-01_2025-12-31,0,legacy_10min_bfill,first_50_minutes,1670,0.0,0.0
formal_2025-02-01_2025-12-31,0,observed_anchor_10min,after_first_50_minutes,46426,204.59496431453638,389.85503691532375
formal_2025-02-01_2025-12-31,0,observed_anchor_10min,all_available_targets,48096,197.49097249805945,383.0269248527167
formal_2025-02-01_2025-12-31,0,observed_anchor_10min,first_50_minutes,1670,0.0,0.0
formal_2025-02-01_2025-12-31,0,supplier_raw_hourly,all_available_targets,8016,186.7346709830339,378.6842131115112
formal_2025-02-01_2025-12-31,0,supplier_raw_hourly,original_hourly_targets,8016,186.7346709830339,378.6842131115112
formal_2025-02-01_2025-12-31,6,legacy_10min_bfill,after_first_50_minutes,34402,161.38351910499392,276.2047158038811
formal_2025-02-01_2025-12-31,6,legacy_10min_bfill,all_available_targets,36072,185.77199928060546,322.92952799627267
formal_2025-02-01_2025-12-31,6,legacy_10min_bfill,first_50_minutes,1670,688.1746908982036,825.2083624488458
formal_2025-02-01_2025-12-31,6,observed_anchor_10min,after_first_50_minutes,34402,161.38351910499392,276.2047158038811
formal_2025-02-01_2025-12-31,6,observed_anchor_10min,all_available_targets,36072,158.51647664347232,271.37144712169965
formal_2025-02-01_2025-12-31,6,observed_anchor_10min,first_50_minutes,1670,99.45540193612774,138.2854232873201
formal_2025-02-01_2025-12-31,6,supplier_raw_hourly,all_available_targets,6012,129.0903119594145,240.9219309374875
formal_2025-02-01_2025-12-31,6,supplier_raw_hourly,original_hourly_targets,6012,129.0903119594145,240.9219309374875
formal_2025-02-01_2025-12-31,12,legacy_10min_bfill,after_first_50_minutes,22378,65.64233659248667,125.9517496460156
formal_2025-02-01_2025-12-31,12,legacy_10min_bfill,all_available_targets,24048,85.62543535706365,170.34381349327995
formal_2025-02-01_2025-12-31,12,legacy_10min_bfill,first_50_minutes,1670,353.39895880239516,453.06678718824605
formal_2025-02-01_2025-12-31,12,observed_anchor_10min,after_first_50_minutes,22378,65.64233659248667,125.9517496460156
formal_2025-02-01_2025-12-31,12,observed_anchor_10min,all_available_targets,24048,75.2527363855622,139.72804450189918
formal_2025-02-01_2025-12-31,12,observed_anchor_10min,first_50_minutes,1670,204.03209361277442,261.8569094973725
formal_2025-02-01_2025-12-31,12,supplier_raw_hourly,all_available_targets,4008,35.19853151197604,71.08402289086493
formal_2025-02-01_2025-12-31,12,supplier_raw_hourly,original_hourly_targets,4008,35.19853151197604,71.08402289086493
formal_2025-02-01_2025-12-31,18,legacy_10min_bfill,after_first_50_minutes,10354,0.04386099575043462,0.36786276718608696
formal_2025-02-01_2025-12-31,18,legacy_10min_bfill,all_available_targets,12024,19.425359061044578,105.94933747230066
formal_2025-02-01_2025-12-31,18,legacy_10min_bfill,first_50_minutes,1670,139.59064706586827,284.2904293063769
formal_2025-02-01_2025-12-31,18,observed_anchor_10min,after_first_50_minutes,10354,0.04386099575043462,0.36786276718608696
