date,policy,initial_soc_kwh,terminal_soc_kwh,expected_scenario_emergency_cost_yuan,scenario_cvar_yuan,max_planning_residual
2025-02-01,B1,4910.116222222223,1396.4820788373684,,,0.0
2025-02-01,B3,4910.116222222223,1375.8562421791664,1313.745680446571,,1.8189894035458565e-12
2025-02-01,B4,4910.116222222223,1375.8562421791664,641.373076778519,5074.447811394242,1.8189894035458565e-12
2025-02-02,B1,1396.4820788373684,1244.7245993418205,,,0.0
2025-02-02,B3,1375.8562421791664,1242.8746530996539,3851.186673853578,,1.0459189070388675e-11
2025-02-02,B4,1375.8562421791664,1249.1433096614921,3653.859295084771,39369.083552149576,1.8189894035458565e-12
2025-02-03,B1,1244.7245993418205,1272.4803984207929,,,0.0
2025-02-03,B3,1242.8746530996539,1200.0,4429.55886174341,,3.979039320256561e-12
2025-02-03,B4,1249.1433096614921,1200.0,741.0704800908213,6185.958353353611,1.8189894035458565e-12
2025-02-04,B1,1272.4803984207929,1291.3431784406032,,,0.0
2025-02-04,B3,1200.0,1279.3582041515235,5605.145913821982,,1.8189894035458565e-12
2025-02-04,B4,1200.0,1258.2668961143193,3434.490545314271,24684.10030033215,1.8189894035458565e-12
2025-02-05,B1,1291.3431784406032,1200.0,,,0.0
2025-02-05,B3,1279.3582041515235,1248.7105900487754,4377.875322302724,,5.6843418860808015e-12
2025-02-05,B4,1258.2668961143193,1248.7105900487754,1115.3836700751756,10386.108610378931,1.8189894035458565e-12
2025-02-06,B1,1200.0,1224.277654258047,,,0.0
2025-02-06,B3,1248.7105900487754,1278.8145714431273,4416.835555337244,,7.958078640513122e-12
2025-02-06,B4,1248.7105900487754,1333.7930100585847,1115.9860642523022,10408.63269826459,1.8189894035458565e-12
2025-02-07,B1,1224.277654258047,1200.0,,,0.0
2025-02-07,B3,1278.8145714431273,1222.2716554396275,3623.9863491172623,,9.663381206337363e-12
2025-02-07,B4,1333.7930100585847,1225.954835333807,849.6496367112262,7745.707012845664,1.8189894035458565e-12
2025-02-08,B1,1200.0,1200.0,,,0.0
2025-02-08,B3,1222.2716554396275,1231.4072425818067,4856.45793505351,,5.4569682106375694e-12
2025-02-08,B4,1225.954835333807,1233.7379144590336,2353.2377815199916,16782.665782826483,1.8189894035458565e-12
2025-02-09,B1,1200.0,1200.0,,,0.0
2025-02-09,B3,1231.4072425818067,1200.0,5088.261709142371,,3.54702933691442e-11
2025-02-09,B4,1233.7379144590336,1200.0,3306.2438193066446,27643.487735945968,1.8189894035458565e-12
2025-02-10,B1,1200.0,1200.0,,,0.0
2025-02-10,B3,1200.0,1200.0,5448.815020991209,,8.412825991399586e-12
2025-02-10,B4,1200.0,1200.0,3007.0518661224473,22614.42430704497,1.8189894035458565e-12
2025-02-11,B1,1200.0,1200.0,,,0.0
2025-02-11,B3,1200.0,1200.0,4394.708910786578,,6.0254023992456496e-12
2025-02-11,B4,1200.0,1200.0,1109.5124992848373,10345.630405207025,1.8189894035458565e-12
2025-02-12,B1,1200.0,1200.0,,,0.0
2025-02-12,B3,1200.0,1208.1366934633963,5456.484569105926,,4.4792614062316716e-11
2025-02-12,B4,1200.0,1200.0,3207.147357045453,24988.656676521772,1.8189894035458565e-12
2025-02-13,B1,1200.0,1200.0,,,0.0
2025-02-13,B3,1208.1366934633963,1212.9266642142427,5366.215209294491,,2.546585164964199e-11
2025-02-13,B4,1200.0,1200.0,2965.906671284171,22303.362653410244,1.8189894035458565e-12
2025-02-14,B1,1200.0,1200.0,,,0.0
2025-02-14,B3,1212.9266642142427,1200.0,3891.7307322355837,,1.8189894035458565e-12
2025-02-14,B4,1200.0,1200.0,1859.8537090397072,14312.828600066428,1.8189894035458565e-12
2025-02-15,B1,1200.0,1200.0,,,0.0
2025-02-15,B3,1200.0,1200.0,4116.03452663949,,2.9558577807620168e-12
2025-02-15,B4,1200.0,1200.0,2030.8611374481434,15344.410475018965,1.8189894035458565e-12
2025-02-16,B1,1200.0,1200.0,,,0.0
2025-02-16,B3,1200.0,1200.0,4412.8839077394805,,7.617018127348274e-12
2025-02-16,B4,1200.0,1200.0,1002.2737790720645,8956.55367877159,1.8189894035458565e-12
2025-02-17,B1,1200.0,1200.0,,,0.0
2025-02-17,B3,1200.0,1236.7747229176036,4245.175526335991,,4.9112713895738125e-11
2025-02-17,B4,1200.0,1237.6192101473305,3782.3834555886315,39586.42941199255,1.8189894035458565e-12
2025-02-18,B1,1200.0,1200.0,,,0.0
2025-02-18,B3,1236.7747229176036,1200.0,4408.24659466277,,7.73070496506989e-12
2025-02-18,B4,1237.6192101473305,1200.0,1100.2205100817155,10278.926288939214,1.8189894035458565e-12
2025-02-19,B1,1200.0,1200.0,,,0.0
2025-02-19,B3,1200.0,1200.0,5604.665186443915,,7.503331289626658e-12
2025-02-19,B4,1200.0,1200.0,3272.074761865587,26677.990284623433,1.8189894035458565e-12
2025-02-20,B1,1200.0,1200.0,,,0.0
2025-02-20,B3,1200.0,1200.0,5231.317726175352,,2.6716406864579767e-11
2025-02-20,B4,1200.0,1200.0,3414.8442840447688,27583.01211422523,9.094947017729282e-13
2025-02-21,B1,1200.0,1200.0,,,0.0
2025-02-21,B3,1200.0,1200.0,1492.4440334895096,,1.8189894035458565e-12
2025-02-21,B4,1200.0,1200.0,1428.7247756951872,26614.531056049032,1.8189894035458565e-12
2025-02-22,B1,1200.0,1200.0,,,0.0
2025-02-22,B3,1200.0,1200.0,1334.7585014722242,,2.0463630789890885e-12
2025-02-22,B4,1200.0,1200.0,1185.4594616328798,22888.844719992663,1.8189894035458565e-12
2025-02-23,B1,1200.0,1200.0,,,0.0
2025-02-23,B3,1200.0,1200.0,3853.826610641367,,5.911715561524034e-11
2025-02-23,B4,1200.0,1200.0,3461.403888025645,37092.1342430362,1.8189894035458565e-12
2025-02-24,B1,1200.0,1200.0,,,0.0
2025-02-24,B3,1200.0,1207.4590426623765,5730.6832503828955,,3.637978807091713e-12
2025-02-24,B4,1200.0,1207.4590426623765,3303.1911929357702,25625.715243038827,1.8189894035458565e-12
2025-02-25,B1,1200.0,1200.0,,,0.0
2025-02-25,B3,1207.4590426623765,1200.0,3706.653002637333,,2.2498625185107812e-10
2025-02-25,B4,1207.4590426623765,1211.8737445602565,3123.108562765534,32577.545905722138,1.8189894035458565e-12
2025-02-26,B1,1200.0,1200.0,,,0.0
2025-02-26,B3,1200.0,1232.8052282427639,2722.303658019953,,4.9112713895738125e-11
2025-02-26,B4,1211.8737445602565,1211.7398146975304,2104.817499377914,37734.13725014395,5.4569682106375694e-12
2025-02-27,B1,1200.0,1200.0,,,0.0
2025-02-27,B3,1232.8052282427639,1248.434137918108,4547.877555909286,,1.0913936421275139e-11
2025-02-27,B4,1211.7398146975304,1248.434137918108,3847.8083457866724,37858.52871408826,1.8189894035458565e-12
2025-02-28,B1,1200.0,1200.0,,,0.0
2025-02-28,B3,1248.434137918108,1223.5288815284898,1441.4257451198282,,1.8189894035458565e-12
2025-02-28,B4,1248.434137918108,1223.5288815284898,1337.922771094004,24976.962547475734,1.8189894035458565e-12
2025-03-01,B1,1200.0,1200.0,,,0.0
2025-03-01,B3,1223.5288815284898,1229.5025450959508,1411.5490277000806,,1.8189894035458565e-12
2025-03-01,B4,1223.5288815284898,1214.478675832923,1308.6669117094336,24290.865887341908,1.8189894035458565e-12
2025-03-02,B1,1200.0,1200.0,,,0.0
2025-03-02,B3,1229.5025450959508,1200.0,2527.544351716176,,7.275957614183426e-12
2025-03-02,B4,1214.478675832923,1200.0,2135.3984034311848,34872.4647828613,1.8189894035458565e-12
2025-03-03,B1,1200.0,1200.0,,,0.0
2025-03-03,B3,1200.0,1200.0,342.04771027243453,,5.786660040030256e-11
2025-03-03,B4,1200.0,1200.0,139.56559622771758,2507.644853873517,1.8189894035458565e-12
2025-03-04,B1,1200.0,1200.0,,,0.0
2025-03-04,B3,1200.0,1200.0,788.7983596435713,,2.2851054382044822e-11
2025-03-04,B4,1200.0,1200.0,655.7307658913874,10347.463922937706,1.8189894035458565e-12
2025-03-05,B1,1200.0,1200.0,,,0.0
2025-03-05,B3,1200.0,1200.0,358.6379855825199,,1.9417711882852018e-10
2025-03-05,B4,1200.0,1200.0,151.98697779437657,2602.0670789598153,1.8189894035458565e-12
2025-03-06,B1,1200.0,1200.0,,,0.0
2025-03-06,B3,1200.0,1200.0,345.3713370233303,,1.2278178473934531e-11
2025-03-06,B4,1200.0,1200.0,154.3362072769783,2623.2536180952125,3.637978807091713e-12
2025-03-07,B1,1200.0,1200.0,,,0.0
2025-03-07,B3,1200.0,1216.5705264593084,222.92095133469752,,1.3017142919125035e-11
2025-03-07,B4,1200.0,1216.3111385796815,181.0494319917251,823.8411682297316,1.8189894035458565e-12
2025-03-08,B1,1200.0,1200.0,,,0.0
2025-03-08,B3,1216.5705264593084,1200.0,2331.505301227722,,1.1095835361629725e-10
2025-03-08,B4,1216.3111385796815,1200.0,2191.9451955636277,22603.10347176072,1.8189894035458565e-12
2025-03-09,B1,1200.0,1200.0,,,0.0
2025-03-09,B3,1200.0,1200.0,5575.69402096788,,1.0686562745831907e-11
2025-03-09,B4,1200.0,1200.0,2587.1540889769053,20928.609958906276,1.8189894035458565e-12
2025-03-10,B1,1200.0,1200.0,,,0.0
2025-03-10,B3,1200.0,1201.9623549779908,800.7059145347479,,3.865352482534945e-12
2025-03-10,B4,1200.0,1201.9623549779908,639.2769723692577,9565.558748133433,1.8189894035458565e-12
2025-03-11,B1,1200.0,1200.0,,,0.0
2025-03-11,B3,1201.9623549779908,1294.9363740078202,1143.3509768324918,,3.8767211663071066e-11
2025-03-11,B4,1201.9623549779908,1284.6348604978184,1015.2464298380909,10178.20002454719,1.8189894035458565e-12
2025-03-12,B1,1200.0,1200.0,,,0.0
2025-03-12,B3,1294.9363740078202,1223.0638338464462,652.7324252199406,,5.6843418860808015e-12
2025-03-12,B4,1284.6348604978184,1222.1811577369767,481.3058346379334,6921.499356243564,3.637978807091713e-12
2025-03-13,B1,1200.0,1200.0,,,0.0
2025-03-13,B3,1223.0638338464462,1211.8737445602562,1028.5255063578288,,8.58335624798201e-11
2025-03-13,B4,1222.1811577369767,1211.8737445602562,961.5217397409768,10003.367929346436,5.4569682106375694e-12
2025-03-14,B1,1200.0,1200.0,,,0.0
2025-03-14,B3,1211.8737445602562,1213.792218221254,208.49227806880728,,1.8189894035458565e-12
2025-03-14,B4,1211.8737445602562,1206.6877649695527,155.71983009161784,745.5649664830274,1.8189894035458565e-12
2025-03-15,B1,1200.0,1200.0,,,0.0
2025-03-15,B3,1213.792218221254,1200.0,2214.985862791058,,1.8189894035458565e-12
2025-03-15,B4,1206.6877649695527,1200.0,2167.056392981607,21908.94502520989,1.8189894035458565e-12
2025-03-16,B1,1200.0,1200.0,,,0.0
2025-03-16,B3,1200.0,1200.0,2222.3107983106843,,1.8189894035458565e-11
2025-03-16,B4,1200.0,1200.0,2104.151441688264,30343.746149600505,1.8189894035458565e-12
2025-03-17,B1,1200.0,1200.0,,,0.0
2025-03-17,B3,1200.0,1209.2970357659203,1304.6765382379049,,1.3642420526593924e-11
2025-03-17,B4,1200.0,1209.2970357659203,1228.280181452242,15988.45153166153,1.8189894035458565e-12
2025-03-18,B1,1200.0,1200.0,,,0.0
2025-03-18,B3,1209.2970357659203,1200.0,1103.1830218654254,,2.1600499167107046e-11
2025-03-18,B4,1209.2970357659203,1200.0,1017.1518146343647,16868.70010774615,1.8189894035458565e-12
2025-03-19,B1,1200.0,1233.1498409932817,,,0.0
2025-03-19,B3,1200.0,1219.186089058673,262.52445418834003,,1.0913936421275139e-11
2025-03-19,B4,1200.0,1215.4068495376448,172.58450373941946,3074.4738946469947,1.8189894035458565e-12
2025-03-20,B1,1233.1498409932817,1200.0,,,0.0
2025-03-20,B3,1219.186089058673,1207.435702564268,1590.9297918526563,,8.481038094032556e-11
2025-03-20,B4,1215.4068495376448,1207.435702564268,1033.954173157082,10955.42402187278,1.8189894035458565e-12
2025-03-21,B1,1200.0,1200.0,,,0.0
2025-03-21,B3,1207.435702564268,1200.0,213.6599476196768,,1.8189894035458565e-12
2025-03-21,B4,1207.435702564268,1200.0,137.35458244503533,711.3274640490201,5.4569682106375694e-12
2025-03-22,B1,1200.0,1308.767286566608,,,0.0
2025-03-22,B3,1200.0,1312.4246021493811,301.6027002256637,,1.8189894035458565e-12
2025-03-22,B4,1200.0,1288.087978848432,189.48455033273692,1564.587877146715,1.8189894035458565e-12
2025-03-23,B1,1308.767286566608,1200.0,,,0.0
2025-03-23,B3,1312.4246021493811,1219.7022384064903,2333.564082063337,,2.0236257114447653e-10
2025-03-23,B4,1288.087978848432,1229.9804795313394,2226.2001507599716,33364.960440169445,3.637978807091713e-12
2025-03-24,B1,1200.0,1200.0,,,0.0
2025-03-24,B3,1219.7022384064903,1200.0,445.35003747433234,,5.616129783447832e-11
2025-03-24,B4,1229.9804795313394,1200.0,286.6014989899299,2974.9193008708194,1.8189894035458565e-12
2025-03-25,B1,1200.0,1200.0,,,0.0
2025-03-25,B3,1200.0,1238.2723189357532,1212.0633560649023,,1.48929757415317e-11
2025-03-25,B4,1200.0,1222.6516577949135,825.4796673133228,10634.655339666117,1.8189894035458565e-12
2025-03-26,B1,1200.0,1200.0,,,0.0
2025-03-26,B3,1238.2723189357532,1200.0,1158.3117978371945,,3.558398020686582e-11
2025-03-26,B4,1222.6516577949135,1200.0,734.1240311532491,8753.968900664175,1.8189894035458565e-12
2025-03-27,B1,1200.0,1200.0,,,0.0
2025-03-27,B3,1200.0,1200.0,1558.0898039091073,,5.6274984672199935e-12
2025-03-27,B4,1200.0,1200.0,1044.8901122782404,10927.272580488425,1.8189894035458565e-12
2025-03-28,B1,1200.0,1200.0,,,0.0
2025-03-28,B3,1200.0,1200.0,206.19339390176657,,1.8189894035458565e-12
2025-03-28,B4,1200.0,1200.0,92.92473029050903,852.540901844836,1.8189894035458565e-12
2025-03-29,B1,1200.0,1200.0,,,0.0
2025-03-29,B3,1200.0,1205.655141107789,1362.1169129645566,,1.8189894035458565e-12
2025-03-29,B4,1200.0,1205.655141107789,1193.2834873949525,21254.408993646906,1.8189894035458565e-12
2025-03-30,B1,1200.0,1200.0,,,0.0
2025-03-30,B3,1205.655141107789,1200.0,2319.039565500604,,1.8189894035458565e-11
2025-03-30,B4,1205.655141107789,1200.0,1885.9948944100142,31087.468102964816,1.8189894035458565e-12
2025-03-31,B1,1200.0,1200.0,,,0.0
2025-03-31,B3,1200.0,1251.127068795534,1429.115403108654,,5.047695594839752e-11
2025-03-31,B4,1200.0,1251.127068795534,829.4341840183077,9250.797076372308,1.8189894035458565e-12
2025-04-01,B1,1200.0,1200.0,,,0.0
2025-04-01,B3,1251.127068795534,1200.0,810.3282749590849,,2.2737367544323206e-12
2025-04-01,B4,1251.127068795534,1200.0,510.26505561898836,6517.735331577747,1.8189894035458565e-12
2025-04-02,B1,1200.0,1200.0,,,0.0
2025-04-02,B3,1200.0,1231.094555665172,900.3600932421735,,1.0231815394945443e-11
2025-04-02,B4,1200.0,1231.094555665172,383.5255562894458,4818.72785181572,1.8189894035458565e-12
2025-04-03,B1,1200.0,1200.0,,,0.0
2025-04-03,B3,1231.094555665172,1231.094555665172,1101.46172916723,,7.73070496506989e-12
2025-04-03,B4,1231.094555665172,1231.094555665172,644.0915386647207,5015.527135784044,7.275957614183426e-12
2025-04-04,B1,1200.0,1200.0,,,0.0
2025-04-04,B3,1231.094555665172,1260.9845240330972,282.61385704883446,,3.637978807091713e-12
2025-04-04,B4,1231.094555665172,1260.9845240330972,223.95186697565276,1169.115131537516,1.8189894035458565e-12
2025-04-05,B1,1200.0,1200.0,,,0.0
2025-04-05,B3,1260.9845240330972,1200.0,1204.1244070966577,,1.8189894035458565e-12
2025-04-05,B4,1260.9845240330972,1200.0,1106.9313266102474,20764.040424562343,1.8189894035458565e-12
2025-04-06,B1,1200.0,1200.0,,,0.0
2025-04-06,B3,1200.0,1206.0872803289806,2175.380491073793,,3.2741809263825417e-11
2025-04-06,B4,1200.0,1206.0872803289806,1859.672335651562,29837.086723784578,1.8189894035458565e-12
2025-04-07,B1,1200.0,1200.0,,,0.0
2025-04-07,B3,1206.0872803289806,1200.0,758.434071468967,,5.115907697472721e-12
2025-04-07,B4,1206.0872803289806,1200.0,495.69796322765353,5522.765850436819,1.8189894035458565e-12
2025-04-08,B1,1200.0,1200.0,,,0.0
2025-04-08,B3,1200.0,1200.0,721.9039983224336,,1.4006218407303095e-10
2025-04-08,B4,1200.0,1200.0,511.8417273981875,5693.057388237911,1.8189894035458565e-12
2025-04-09,B1,1200.0,1200.0,,,0.0
2025-04-09,B3,1200.0,1200.0,926.9345127874429,,1.750777300912887e-11
2025-04-09,B4,1200.0,1200.0,726.7603061626097,8572.036666781058,1.8189894035458565e-12
2025-04-10,B1,1200.0,1200.0,,,0.0
2025-04-10,B3,1200.0,1219.9866387015659,910.5807282280332,,1.007265382213518e-10
2025-04-10,B4,1200.0,1212.8625361769666,697.1734738593686,4331.399568947424,3.637978807091713e-12
2025-04-11,B1,1200.0,1200.0,,,0.0
2025-04-11,B3,1219.9866387015659,1200.0,167.69112887589705,,1.8189894035458565e-12
2025-04-11,B4,1212.8625361769666,1200.0,138.28941196144268,673.5225207993558,1.8189894035458565e-12
2025-04-12,B1,1200.0,1200.0,,,0.0
2025-04-12,B3,1200.0,1200.0,1030.3225480351205,,1.8189894035458565e-12
2025-04-12,B4,1200.0,1200.0,919.4361312790084,17898.76424910271,1.8189894035458565e-12
2025-04-13,B1,1200.0,1200.0,,,0.0
2025-04-13,B3,1200.0,1202.5740491417714,3184.7172654398096,,1.8189894035458565e-12
2025-04-13,B4,1200.0,1202.5740491417714,3091.2803590359545,31341.730284152567,1.8189894035458565e-12
2025-04-14,B1,1200.0,1200.0,,,0.0
2025-04-14,B3,1202.5740491417714,1224.4971851281098,892.2671247942917,,5.9117155615240335e-12
2025-04-14,B4,1202.5740491417714,1224.4971851281098,689.208665243739,4281.664697026058,1.8189894035458565e-12
2025-04-15,B1,1200.0,1200.0,,,0.0
2025-04-15,B3,1224.4971851281098,1246.3814130193796,825.516383751034,,8.768097359279636e-11
2025-04-15,B4,1224.4971851281098,1237.942235281428,374.79332183421644,2961.845179605257,1.8189894035458565e-12
2025-04-16,B1,1200.0,1200.0,,,0.0
2025-04-16,B3,1246.3814130193796,1200.0,584.8078623322879,,1.0231815394945443e-11
2025-04-16,B4,1237.942235281428,1200.0,513.309535075416,5355.763889780083,1.8189894035458565e-12
2025-04-17,B1,1200.0,1200.0,,,0.0
2025-04-17,B3,1200.0,1200.0,821.7514483332536,,8.043343768804334e-12
2025-04-17,B4,1200.0,1200.0,589.1067259905874,6249.609049893862,1.8189894035458565e-12
2025-04-18,B1,1200.0,1213.505750459329,,,0.0
2025-04-18,B3,1200.0,1259.2939757230836,244.08818349874883,,1.8189894035458565e-12
2025-04-18,B4,1200.0,1287.523936884199,222.39542429537488,925.2117663123968,1.8189894035458565e-12
2025-04-19,B1,1213.505750459329,1200.0,,,0.0
2025-04-19,B3,1259.2939757230836,1200.0,99.07842532143856,,1.8189894035458565e-12
2025-04-19,B4,1287.523936884199,1200.0,97.90482058701646,820.8716821213945,1.8189894035458565e-12
2025-04-20,B1,1200.0,1200.0,,,0.0
2025-04-20,B3,1200.0,1200.0,2699.4661812493932,,1.0345502232667059e-11
2025-04-20,B4,1200.0,1200.0,1983.3963013080006,31636.995208477216,1.8189894035458565e-12
2025-04-21,B1,1200.0,1200.0,,,0.0
2025-04-21,B3,1200.0,1220.4995405700404,893.9344698405826,,1.524540493846871e-10
2025-04-21,B4,1200.0,1220.4995405700404,759.6018973478651,5933.597932940214,2.2737367544323206e-12
2025-04-22,B1,1200.0,1200.0,,,0.0
2025-04-22,B3,1220.4995405700404,1200.0,713.2443888496089,,1.4779288903810084e-11
2025-04-22,B4,1220.4995405700404,1200.0,262.6725394462556,2316.4095748758928,1.8189894035458565e-12
2025-04-23,B1,1200.0,1239.4712731010072,,,0.0
2025-04-23,B3,1200.0,1247.5184307151103,641.6667859952333,,1.659827830735594e-11
2025-04-23,B4,1200.0,1244.5959487345974,480.5437683513666,5136.246770245299,1.8189894035458565e-12
2025-04-24,B1,1239.4712731010072,1200.0,,,0.0
2025-04-24,B3,1247.5184307151103,1200.0,622.564632250383,,1.4210854715202004e-11
2025-04-24,B4,1244.5959487345974,1200.0,487.72626016166174,6407.528973823855,3.637978807091713e-12
2025-04-25,B1,1200.0,1200.0,,,0.0
2025-04-25,B3,1200.0,1222.5182422807147,188.6225949847055,,9.094947017729282e-13
2025-04-25,B4,1200.0,1222.5182422807147,131.71342269161633,985.2757095795239,1.8189894035458565e-12
2025-04-26,B1,1200.0,1200.0,,,0.0
2025-04-26,B3,1222.5182422807147,1200.0,1929.983597856711,,9.094947017729282e-13
2025-04-26,B4,1222.5182422807147,1205.8511681396253,1824.4915647105056,18902.982888671428,1.8189894035458565e-12
2025-04-27,B1,1200.0,1200.0,,,0.0
2025-04-27,B3,1200.0,1200.0,2075.0193101476425,,8.412825991399586e-12
2025-04-27,B4,1205.8511681396253,1200.0,1865.317301412982,30643.8616982133,1.8189894035458565e-12
2025-04-28,B1,1200.0,1200.0,,,0.0
