policy,date,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_purchase_kwh,remaining_energy_kwh,charge_kwh,discharge_kwh,soc_min_kwh,soc_max_kwh,terminal_soc_kwh,max_balance_error
B1,2025-02-01,20158.55287739795,555.2538234367712,20713.80670083472,156.5879840651392,4313.484526373969,15564.88132637645,15769.824603411298,1396.4820788373684,10800.000000000004,1396.4820788373684,3.410605131648481e-12
B1,2025-02-02,54247.899114247295,743.0572381033769,54990.95635235067,223.42290139572432,4226.7334707351965,22960.68024915355,18734.732733360364,1244.7245993418205,10800.000000000002,1244.7245993418205,1.4779288903810084e-12
B1,2025-02-03,54476.08251206592,2983.4170208487153,57459.49953291464,863.4578795117205,3189.847954934605,23320.302144404675,18864.46451779672,1272.4803984207929,10800.0,1272.4803984207929,2.2737367544323206e-13
B1,2025-02-04,54320.202397083696,7146.652323303317,61466.85472038701,1878.9196091571966,2856.2385681617347,24514.046674981397,19839.401304717103,1200.0,10800.0,1291.3431784406032,2.956523914576792e-13
B1,2025-02-05,53683.57080723031,4016.917630957624,57700.48843818794,1160.1324791202653,1909.5541761437914,24007.44352255495,19528.238113866053,1200.0,10800.000000000002,1200.0,2.0463630789890885e-12
B1,2025-02-06,54216.548951764875,2646.516408097615,56863.065359862485,842.5461786258429,2489.48036308135,23820.512082405992,19272.764897916615,1224.2776542580468,10800.000000000002,1224.277654258047,4.547473508864641e-13
B1,2025-02-07,21370.11305098264,522.7161052461701,21892.82915622881,182.03608498369246,5866.768093979954,19791.148671195548,16052.680312500635,1200.0,10800.0,1200.0,1.7621459846850485e-12
B1,2025-02-08,18611.734471247997,5164.509869067303,23776.244340315297,1643.9053932190302,2460.945695387102,19049.652538096972,15430.218555858546,1200.0,10800.0,1200.0,3.410605131648481e-13
B1,2025-02-09,50356.60859590022,12035.27800323101,62391.886599131234,3585.3029962100854,520.5703848863182,24259.13995541329,19649.90336388477,1200.0,10800.000000000004,1200.0,2.2737367544323206e-13
B1,2025-02-10,52055.353594668886,2166.2123516655784,54221.565946334464,764.244536654198,5750.760910308761,21338.903401710977,17284.511755385887,1200.0,10800.000000000002,1200.0,1.1368683772161603e-12
B1,2025-02-11,50243.84516331333,4071.318903022129,54315.16406633546,938.6833373105168,2462.3423098743215,22491.11833691184,18217.805852898593,1200.0,10800.000000000002,1200.0,1.7053025658242404e-12
B1,2025-02-12,50189.63576017371,5094.407876891621,55284.04363706533,1291.3910480350812,2627.5496888294147,22626.901140558643,18327.789923852495,1200.0,10800.000000000004,1200.0,1.7053025658242404e-12
B1,2025-02-13,49093.146645317654,4617.35059317366,53710.49723849131,1283.5010895169676,5331.789185748746,20715.41770183982,16779.488338490257,1200.0,10800.000000000002,1200.0,2.2737367544323206e-13
B1,2025-02-14,18352.150234488672,4553.012475405633,22905.162709894306,1781.4734790745567,3764.291633056309,18299.784503013678,14822.825447441077,1200.0,10800.0,1200.0,6.821210263296962e-13
