date,original_plan_cost_yuan,final_non_emergency_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_purchase_kwh,remaining_energy_kwh,terminal_soc_kwh
2025-02-01,23015.715264641243,25180.52600984856,245.2394134325426,25425.7654232811,50.463851192032195,10552.995326484408,1344.2541691031286
2025-02-02,64831.45069649323,64387.754434121154,223.10413978671232,64610.85857390787,33.4252552892184,15830.92631469585,1227.8456899035332
2025-02-03,66899.02269067778,69252.88899575124,752.2791228299134,70005.16811858116,164.8364457516668,20037.719301247198,1200.0
2025-02-04,65775.72092131621,72710.42384054144,834.2073792014107,73544.63121974285,189.69108199378365,21576.46178099202,1347.3183232551185
2025-02-05,60845.18371911305,62498.895866687584,1672.7761175010953,64171.67198418867,322.65439455529275,10760.391136725386,1248.7105900487757
2025-02-06,64562.47648584982,63374.25559351223,936.9771433858377,64311.23273689806,196.66502258923384,11947.886455608244,1314.8247045207158
2025-02-07,30907.351473444833,33204.78426945221,593.6902420769331,33798.474511529144,94.85694251527983,22606.327254674336,1225.9548353338075
2025-02-08,22689.139119572385,22689.139119572385,5146.742789370965,27835.88190894335,1148.525880825516,8182.097279542562,1231.4072425818067
2025-02-09,59756.35669093376,59756.35669093376,3230.28434165011,62986.64103258387,718.5359262333982,10287.211122395132,1200.3697401407835
2025-02-10,58412.62017220976,60495.13815566548,1394.0794985743346,61889.217654239816,486.88947288287795,14339.182312108622,1200.0
2025-02-11,53710.3113430686,53489.17817066645,8394.789030937513,61883.96720160396,1960.4131634242553,5900.710607424451,1215.0297024813326
2025-02-12,53920.959962459274,53920.959962459274,5436.151163876413,59357.11112633569,1312.7840120332476,7074.351773865615,1218.1136558519272
2025-02-13,50615.90264750629,51978.37430387493,3983.5396972096714,55961.9140010846,982.6860018145454,6955.844692969103,1225.996629637753
2025-02-14,19778.261804003905,26757.504470571035,2245.587720077409,29003.092190648444,523.5571072014926,11528.848079229845,1204.2179304778888
2025-02-15,22755.738359730523,22755.738359730523,5931.973998427636,28687.712358158158,1663.78012133191,10814.68855619556,1200.0
2025-02-16,60414.17670975914,59506.398215736,10910.492979216884,70416.89119495288,2445.305798445443,14383.365680457613,1200.0
2025-02-17,55222.64753202977,53830.75266713415,5751.734659675457,59582.487326809605,1413.874455312933,9153.291516117242,1240.2371901353597
2025-02-18,48588.82172168332,50457.35904196911,6269.622363780908,56726.98140575002,1544.4654022410975,5234.37354857246,1209.1047501558517
2025-02-19,47458.26088510193,50879.795373055604,6719.055209319885,57598.85058237549,1692.2582782911434,4043.1949575615877,1200.0
2025-02-20,50395.32327519231,50395.32327519231,5852.572730799926,56247.89600599224,1311.3053883382102,7594.802723453698,1201.9623549779913
2025-02-21,18273.06604032948,18273.06604032948,2711.874857012099,20984.940897341578,889.8535836240148,7366.485833531127,1200.0
2025-02-22,22820.45194437992,21924.554966450898,3394.6981032604876,25319.253069711387,957.9499874799778,9315.169131114853,1200.0
2025-02-23,47987.026989374506,49276.7441937552,7652.091316123879,56928.83550987908,1836.5521289097705,3896.0550304611734,1200.0
2025-02-24,47414.47239339376,48619.059497443224,2183.2099213942106,50802.26941883744,456.250248320487,5421.67287609526,1209.1331139134993
2025-02-25,52679.28357510974,52679.28357510974,2851.2388578132955,55530.52243292303,736.5238731507438,14257.734977044138,1200.0
2025-02-26,44139.36416437451,48293.04300767742,3220.5192159949984,51513.562223672416,746.1015536220397,3923.072959834381,1215.1347108648422
2025-02-27,45383.003735363214,48632.6858342329,6728.491150777218,55361.17698501012,1436.399177272858,6847.01025694288,1233.884089997857
