date,policy,issue_hour,decision_time,slot,plan_before_kwh,candidate_plan_kwh,effective_plan_kwh
2025-02-01,C3,6,2025-02-01 06:00:00,37,0.0,0.0,0.0
2025-02-01,C3,6,2025-02-01 06:00:00,38,0.0,0.0,0.0
2025-02-01,C3,6,2025-02-01 06:00:00,39,0.0,0.0,0.0
2025-02-01,C3,6,2025-02-01 06:00:00,40,0.0,0.0,0.0
2025-02-01,C3,6,2025-02-01 06:00:00,41,0.0,0.0,0.0
2025-02-01,C3,6,2025-02-01 06:00:00,42,0.0,0.0,0.0
2025-02-01,C3,6,2025-02-01 06:00:00,43,0.0,0.0,0.0
2025-02-01,C3,6,2025-02-01 06:00:00,44,14.652125240847226,194.36385021587097,14.652125240847226
2025-02-01,C3,6,2025-02-01 06:00:00,45,472.7409767548728,558.252634383093,472.7409767548728
2025-02-01,C3,6,2025-02-01 06:00:00,46,530.6253230489176,530.6253230489176,530.6253230489176
2025-02-01,C3,6,2025-02-01 06:00:00,47,0.0,0.0,0.0
2025-02-01,C3,6,2025-02-01 06:00:00,48,0.0,0.0,0.0
2025-02-01,C3,6,2025-02-01 06:00:00,49,0.0,0.0,0.0
2025-02-01,C3,6,2025-02-01 06:00:00,50,0.0,0.0,0.0
2025-02-01,C3,6,2025-02-01 06:00:00,51,0.0,0.0,0.0
2025-02-01,C3,6,2025-02-01 06:00:00,52,0.0,0.0,0.0
2025-02-01,C3,6,2025-02-01 06:00:00,53,0.0,0.0,0.0
2025-02-01,C3,6,2025-02-01 06:00:00,54,0.0,0.0,0.0
2025-02-01,C3,6,2025-02-01 06:00:00,55,0.0,0.0,0.0
2025-02-01,C3,6,2025-02-01 06:00:00,56,0.0,0.0,0.0
2025-02-01,C3,6,2025-02-01 06:00:00,57,0.0,0.0,0.0
2025-02-01,C3,6,2025-02-01 06:00:00,58,0.0,0.0,0.0
2025-02-01,C3,6,2025-02-01 06:00:00,59,0.0,0.0,0.0
2025-02-01,C3,6,2025-02-01 06:00:00,60,0.0,0.0,0.0
2025-02-01,C3,6,2025-02-01 06:00:00,61,0.0,0.0,0.0
2025-02-01,C3,6,2025-02-01 06:00:00,62,0.0,0.0,0.0
2025-02-01,C3,6,2025-02-01 06:00:00,63,0.0,0.0,0.0
2025-02-01,C3,6,2025-02-01 06:00:00,64,0.0,0.0,0.0
2025-02-01,C3,6,2025-02-01 06:00:00,65,0.0,0.0,0.0
