date,interval,charge_kwh,discharge_kwh,soc_0000_kwh,soc_2400_kwh
2025-03-20,0:00-4:00,6587.675455812363,11.866061601227921,1408.0836897760962,
2025-03-20,4:00-8:00,1983.0647618725277,4924.830317667685,,1204.8450645363578
2025-03-20,8:00-12:00,3245.3127134245956,2192.8785178543335,,
2025-03-20,12:00-16:00,6575.270421638546,254.72278333333327,,
2025-03-20,16:00-20:00,817.8449148697755,5377.451034946556,,
2025-03-20,20:00-24:00,17.27255896829524,2994.5831168473683,,
2025-06-21,0:00-4:00,622.793276406876,81.22908398248765,1731.1409574337647,
2025-06-21,4:00-8:00,1120.1354722946544,1752.3427924627745,,1589.1263701887335
2025-06-21,8:00-12:00,0.0,0.0,,
2025-06-21,12:00-16:00,8429.140094958453,0.0,,
2025-06-21,16:00-20:00,873.6309891689069,4755.361533333334,,
2025-06-21,20:00-24:00,0.0,2485.896583333333,,
2025-09-23,0:00-4:00,7172.166628636654,9.99037592021034,1216.4248593942766,
2025-09-23,4:00-8:00,1857.145338834367,5623.7302272142615,,1271.51420871175
2025-09-23,8:00-12:00,3432.7338847639503,1694.8044639719042,,
2025-09-23,12:00-16:00,6295.905627953664,403.6249166666663,,
2025-09-23,16:00-20:00,741.3456589024152,5424.88861784094,,
2025-09-23,20:00-24:00,80.48388102928803,2653.0036102977665,,
2025-12-21,0:00-4:00,6032.8867370756725,27.776359915883653,1232.4558621738088,
2025-12-21,4:00-8:00,2224.3101843741138,2099.2661368755194,,1201.4971304004846
2025-12-21,8:00-12:00,4905.899893929029,4764.469151316518,,
2025-12-21,12:00-16:00,7232.473600867187,1771.1153308851985,,
2025-12-21,16:00-20:00,449.2521721732585,5434.740016317683,,
2025-12-21,20:00-24:00,10.516715674924452,2823.3206996014824,,
