policy,month,total_cost_yuan,emergency_cost_yuan,emergency_purchase_kwh,remaining_energy_kwh
C0,2,1414465.6153610193,137429.6319796213,36330.41839519798,279184.1009457558
C0,3,1304836.1626998354,176866.94148213003,51062.62143585089,283576.6409609592
C0,4,1156406.622872384,253928.00038666787,73211.3705221281,288980.09609024297
C0,5,1212346.5983338947,295261.3419542225,77825.07669750675,321557.4388153799
C0,6,1595382.602293885,318794.4559329796,84463.97737796401,261098.17279493608
C0,7,1898168.8106514679,429291.2863385416,118363.54736870299,371355.88798018545
C0,8,1488557.9644583683,147821.68442213407,39977.80849313503,475855.18895035674
C0,9,1388328.7854343704,309556.6203829935,85083.72632326397,332970.7594534032
C0,10,1390423.17369614,268645.0020945074,70056.12217786243,320005.6343614296
C0,11,1517842.2772457676,240301.59300814875,60939.956316538985,227315.27676520986
C0,12,1903273.7405596976,252655.1800024378,73029.87151479705,189938.70099749372
C1,2,1413273.2692677472,136226.37540996165,35437.064864712476,278333.9031630661
C1,3,1327798.781540983,199827.88631718987,60352.58932674803,292909.87432875065
C1,4,1082749.513909431,180278.88875163946,55708.79598275839,270857.8725355332
C1,5,1174705.8005742354,257570.6102128241,71635.01420199918,314696.33121312095
C1,6,1592921.168882143,316090.5709204738,88350.35780909528,265032.25599605095
C1,7,1869409.5927968859,400827.48564987694,115794.26682489937,367770.82012959063
C1,8,1463028.6677127578,122311.97710283082,34138.05961923496,469734.1266751996
C1,9,1378129.6377716612,299409.93015294545,82776.28084961494,330588.27648168296
C1,10,1402861.8166455391,281241.7182175885,75645.66648037876,324873.84339074924
C1,11,1504440.6448273554,226899.96058973647,59387.68840012246,225725.44198070164
C1,12,1903045.859098948,252427.29854168827,73862.1506185535,190859.75761240796
C2,2,1421702.9409388243,91455.96913222247,22920.28032065827,291271.29408826743
C2,3,1275258.8418730297,104664.38152531371,31679.745490162793,275981.1217477719
C2,4,1055687.412270039,79784.24414038211,25639.24249048878,294562.69036566804
C2,5,1131846.213246462,126813.49875312467,32954.50303193712,347266.32220963313
C2,6,1603819.9352718773,190547.94045689947,51945.42064729547,315684.1926581307
C2,7,1870396.4596352614,255539.3068788073,73382.19967701999,426091.0273028841
C2,8,1440841.515877805,63894.551742574105,17636.472076532966,450207.9619628998
C2,9,1322994.601459354,217783.67259693317,59256.39528837235,300136.53314356285
C2,10,1351091.224254254,156742.35577910225,41409.0386116307,312551.6545385932
C2,11,1472940.0461779742,82947.39237390773,21738.690175159903,269424.16922482726
C2,12,1894311.3633328532,143789.84779903156,40940.9906875588,243861.30146195844
C3,2,1420929.9645733736,101509.38065021731,24998.951553611383,288621.4153975852
C3,3,1282098.728295277,116587.07377173821,34040.141142433145,281466.37797915924
C3,4,1058379.900957602,82311.68828378446,26222.735924544395,296238.5669102197
C3,5,1135245.3629031887,128758.12697358827,33075.22920804429,350009.8316874744
C3,6,1597988.2986166608,190271.59255738286,51938.714955456155,311097.3449561844
C3,7,1870302.3977460198,258568.03353458075,74268.68748601577,426866.0322422795
C3,8,1441565.7100079681,67974.25398239805,18946.01367265437,446492.7560118032
C3,9,1331428.9519981532,230983.93143819095,62807.67354991729,300819.0617351588
C3,10,1349006.2584321576,162996.98268936476,42652.370529686224,310762.6528172883
C3,11,1479669.434325056,91877.2801998495,23351.22151596244,273022.79940197116
C3,12,1891872.8485641843,152887.5996398822,43079.03764564642,240521.38435406468
