date,policy,issue_hour,decision_time,anchor_kw,anchor_source,observation_cutoff,boundary_method,j_keep_yuan,j_adjust_yuan,nv_yuan,delta_yuan,triggered,candidate_increase_kwh,candidate_decrease_kwh,candidate_non_emergency_cost_yuan,max_candidate_change_kwh
2025-02-01,C2,6,2025-02-01 06:00:00,0.0,attachment2:2025-02-01:slot36:ended_at:2025-02-01 06:00:00,2025-02-01 06:00:00,observed_anchor,18374.365248419137,18183.971306389263,190.39394202987387,0.0,True,331.285000159953,0.0,12896.559936677371,179.71172497502414
2025-02-01,C2,12,2025-02-01 12:00:00,6603.9375,attachment2:2025-02-01:slot72:ended_at:2025-02-01 12:00:00,2025-02-01 12:00:00,observed_anchor,21837.870102732148,19049.87529190554,2787.994810826607,0.0,True,2850.6123852741493,0.0,13988.936655683028,688.9199874856473
2025-02-01,C2,18,2025-02-01 18:00:00,0.0,attachment2:2025-02-01:slot108:ended_at:2025-02-01 18:00:00,2025-02-01 18:00:00,observed_anchor,8927.854042289579,8301.273202830289,626.5808394592896,0.0,True,1717.119028886335,0.0,7843.693330500632,538.5159739829411
2025-02-01,C3,6,2025-02-01 06:00:00,0.0,attachment2:2025-02-01:slot36:ended_at:2025-02-01 06:00:00,2025-02-01 06:00:00,observed_anchor,18374.365248419137,18183.971306389263,190.39394202987387,500.0,False,331.285000159953,0.0,12896.559936677371,179.71172497502414
2025-02-01,C3,12,2025-02-01 12:00:00,6603.9375,attachment2:2025-02-01:slot72:ended_at:2025-02-01 12:00:00,2025-02-01 12:00:00,observed_anchor,21753.247178054866,18979.3478182608,2773.899359794068,500.0,True,2785.2183438789275,0.0,13924.19655470176,623.5259460904258
2025-02-01,C3,18,2025-02-01 18:00:00,0.0,attachment2:2025-02-01:slot108:ended_at:2025-02-01 18:00:00,2025-02-01 18:00:00,observed_anchor,8927.854042289579,8301.273202830289,626.5808394592896,500.0,True,1717.119028886335,0.0,7843.693330500632,538.5159739829411
2025-02-02,C2,6,2025-02-02 06:00:00,0.0,attachment2:2025-02-02:slot36:ended_at:2025-02-02 06:00:00,2025-02-02 06:00:00,observed_anchor,48835.64834314613,46521.94770625299,2313.70063689314,0.0,True,72.54915980326717,5854.50309866752,46500.36918532029,493.5254900748816
2025-02-02,C2,12,2025-02-02 12:00:00,6888.0375,attachment2:2025-02-02:slot72:ended_at:2025-02-02 12:00:00,2025-02-02 12:00:00,observed_anchor,40442.26825802854,36701.47586346545,3740.79239456309,0.0,True,0.0,132.43256273368638,34252.09166183106,493.5254900748816
2025-02-02,C2,18,2025-02-02 18:00:00,0.0,attachment2:2025-02-02:slot108:ended_at:2025-02-02 18:00:00,2025-02-02 18:00:00,observed_anchor,15593.673782496311,15350.628954214391,243.04482828191797,0.0,True,217.68877559215477,138.12516866549151,14402.64825112571,217.68877559215477
2025-02-02,C3,6,2025-02-02 06:00:00,0.0,attachment2:2025-02-02:slot36:ended_at:2025-02-02 06:00:00,2025-02-02 06:00:00,observed_anchor,48835.64834314613,46521.94770625299,2313.70063689314,500.0,True,72.54915980326717,5854.50309866752,46500.36918532029,493.5254900748816
2025-02-02,C3,12,2025-02-02 12:00:00,6888.0375,attachment2:2025-02-02:slot72:ended_at:2025-02-02 12:00:00,2025-02-02 12:00:00,observed_anchor,40442.26825802854,36701.47586346545,3740.79239456309,500.0,True,0.0,132.43256273368638,34252.09166183106,493.5254900748816
2025-02-02,C3,18,2025-02-02 18:00:00,0.0,attachment2:2025-02-02:slot108:ended_at:2025-02-02 18:00:00,2025-02-02 18:00:00,observed_anchor,15593.673782496311,15350.628954214391,243.04482828191797,500.0,False,217.68877559215477,138.12516866549151,14402.64825112571,217.68877559215477
2025-02-03,C2,6,2025-02-03 06:00:00,0.0,attachment2:2025-02-03:slot36:ended_at:2025-02-03 06:00:00,2025-02-03 06:00:00,observed_anchor,54701.413473434295,53943.032548585616,758.3809248486796,0.0,True,2132.5465236181585,1316.6560027777791,53071.97762531182,775.9799166666664
2025-02-03,C2,12,2025-02-03 12:00:00,6392.925,attachment2:2025-02-03:slot72:ended_at:2025-02-03 12:00:00,2025-02-03 12:00:00,observed_anchor,40843.02557686198,40655.95999359635,187.0655832656339,0.0,True,705.6977023772739,421.1825916666684,36801.05720626785,383.4232966578045
2025-02-03,C2,18,2025-02-03 18:00:00,0.0,attachment2:2025-02-03:slot108:ended_at:2025-02-03 18:00:00,2025-02-03 18:00:00,observed_anchor,14720.416337440312,14333.76519163468,386.651145805632,0.0,True,226.36644600684167,901.5153622489684,14304.537313969831,226.36644600684167
2025-02-03,C3,6,2025-02-03 06:00:00,0.0,attachment2:2025-02-03:slot36:ended_at:2025-02-03 06:00:00,2025-02-03 06:00:00,observed_anchor,54701.413473434295,53943.032548585616,758.3809248486796,500.0,True,2132.5465236181585,1316.6560027777791,53071.97762531182,775.9799166666664
2025-02-03,C3,12,2025-02-03 12:00:00,6392.925,attachment2:2025-02-03:slot72:ended_at:2025-02-03 12:00:00,2025-02-03 12:00:00,observed_anchor,40843.02557686198,40655.95999359635,187.0655832656339,500.0,False,705.6977023772739,421.1825916666684,36801.05720626785,383.4232966578045
2025-02-03,C3,18,2025-02-03 18:00:00,0.0,attachment2:2025-02-03:slot108:ended_at:2025-02-03 18:00:00,2025-02-03 18:00:00,observed_anchor,14720.416337440312,14333.76519163468,386.651145805632,500.0,False,226.36644600684167,901.5153622489684,14304.537313969831,226.36644600684167
2025-02-04,C2,6,2025-02-04 06:00:00,0.0,attachment2:2025-02-04:slot36:ended_at:2025-02-04 06:00:00,2025-02-04 06:00:00,observed_anchor,59413.76949923657,57991.439942437246,1422.3295567993264,0.0,True,6549.079440014091,250.2052184712195,56797.69298423382,924.1904515224765
2025-02-04,C2,12,2025-02-04 12:00:00,6731.0625,attachment2:2025-02-04:slot72:ended_at:2025-02-04 12:00:00,2025-02-04 12:00:00,observed_anchor,39699.02829335203,39386.470924188645,312.5573691633836,0.0,True,440.6293945163639,542.7520699053823,36393.93092895255,185.8031808099328
2025-02-04,C2,18,2025-02-04 18:00:00,0.0,attachment2:2025-02-04:slot108:ended_at:2025-02-04 18:00:00,2025-02-04 18:00:00,observed_anchor,16355.885231441109,16336.168205571015,19.717025870091675,0.0,True,63.654091717269694,15.053509328190671,14088.381244325905,96.97765879174716
2025-02-04,C3,6,2025-02-04 06:00:00,0.0,attachment2:2025-02-04:slot36:ended_at:2025-02-04 06:00:00,2025-02-04 06:00:00,observed_anchor,59413.76949923657,57991.439942437246,1422.3295567993264,500.0,True,6549.079440014091,250.2052184712195,56797.69298423382,924.1904515224765
2025-02-04,C3,12,2025-02-04 12:00:00,6731.0625,attachment2:2025-02-04:slot72:ended_at:2025-02-04 12:00:00,2025-02-04 12:00:00,observed_anchor,39699.02829335203,39386.470924188645,312.5573691633836,500.0,False,440.6293945163639,542.7520699053823,36393.93092895255,185.8031808099328
2025-02-04,C3,18,2025-02-04 18:00:00,0.0,attachment2:2025-02-04:slot108:ended_at:2025-02-04 18:00:00,2025-02-04 18:00:00,observed_anchor,16387.54214450184,16336.168205571015,51.37393893082481,500.0,False,63.654091717269694,15.053509328190671,14088.381244325905,96.6787900401697
2025-02-05,C2,6,2025-02-05 06:00:00,0.0,attachment2:2025-02-05:slot36:ended_at:2025-02-05 06:00:00,2025-02-05 06:00:00,observed_anchor,54021.45467149977,53036.99561579975,984.4590557000192,0.0,True,1879.9364928872867,163.5548756664263,47039.68842084957,448.8267702130473
2025-02-05,C2,12,2025-02-05 12:00:00,6020.7,attachment2:2025-02-05:slot72:ended_at:2025-02-05 12:00:00,2025-02-05 12:00:00,observed_anchor,35790.32799077306,35698.74393637515,91.58405439791386,0.0,True,89.8900046611144,0.0,32508.05530744349,210.39052838017005
2025-02-05,C2,18,2025-02-05 18:00:00,0.0,attachment2:2025-02-05:slot108:ended_at:2025-02-05 18:00:00,2025-02-05 18:00:00,observed_anchor,16075.008748985265,16075.008748985265,0.0,0.0,False,0.0,0.0,13598.044683186925,0.0
