policy,date,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_purchase_kwh,remaining_energy_kwh,charge_kwh,discharge_kwh,soc_min_kwh,soc_max_kwh,terminal_soc_kwh
B1,2025-02-01,16553.208839266565,536.8916859892527,17090.100525255817,174.85504973133905,4560.817152661249,18853.689952537174,17702.678713507717,1209.7760767452207,10800.0,1209.7760767452207
B1,2025-02-02,59808.69195178628,630.3981499715894,60439.090101757865,196.84669609196928,4225.338536064409,22915.05486617386,18564.66485124549,1205.9200660289312,10800.0,1205.9200660289312
B1,2025-02-03,60870.031545625156,3686.4546679496616,64556.48621357482,893.3533612092343,3239.936690054323,22295.016797811353,18051.024271503946,1214.7415490547662,10800.0,1214.7415490547662
B1,2025-02-04,60725.253376646906,8479.812804854968,69205.06618150187,1936.597910821933,2985.297216760047,24529.38717560165,19882.071006386628,1200.0,10800.000000000004,1200.0
B1,2025-02-05,60238.557446179,5019.870487011173,65258.42793319018,1183.3238955694917,1822.8500901634852,25893.40853474313,20873.04341371071,1200.0,10800.0,1311.7972215902462
B1,2025-02-06,60508.96410081928,3706.0403906429315,64215.004491462205,931.9834176369586,2608.15734770116,23844.74667137086,19377.60353720992,1241.3986289241077,10800.0,1241.398628924108
B1,2025-02-07,17115.878257070115,459.26681289451676,17575.14506996463,195.1576012152005,5857.71634989322,22505.90552143116,18230.774383597964,1214.5794624794546,10800.0,1240.297616436631
B1,2025-02-08,14740.374238881108,4289.264711887086,19029.638950768192,1653.4351357704445,2436.231069279465,20467.256646338683,16584.38161531417,1200.0,10800.000000000002,1233.7379144590334
B1,2025-02-09,55737.00065390135,14248.08963159549,69985.09028549684,3446.800725584025,437.02210651076035,24109.242875846976,19558.850852449184,1200.0,10800.0,1200.0
B1,2025-02-10,56191.86847410836,1999.5932878901565,58191.461761998515,714.8638061296382,5613.728401927636,21716.22750814033,17590.144281593668,1200.0,10800.0,1200.0
B1,2025-02-11,54815.91973008332,3870.888121851091,58686.80785193441,878.4091601101615,2407.430403422384,22305.15810520668,18067.178065217413,1200.0,10800.000000000002,1200.0
B1,2025-02-12,54267.87287346561,5775.116797315342,60042.98967078095,1381.0100474508592,2677.5677053559734,22594.328300416375,18301.405923337265,1200.0,10800.000000000002,1200.0
B1,2025-02-13,52647.572267024305,4600.003266502258,57247.575533526564,1242.5275356672887,5158.291968943282,22519.565208176726,18240.847818623148,1200.0,10800.000000000002,1200.0
B1,2025-02-14,14535.024659282104,3582.495420930725,18117.520080212827,1781.049238995632,3762.861621699693,21182.82257343137,17158.08628447941,1200.0,10800.0,1200.0
B1,2025-02-15,14501.330445335994,5681.400350113866,20182.73079544986,2492.146488946755,4240.663058600053,19180.67901991128,15536.350006128136,1200.0,10800.0,1200.0
B1,2025-02-16,50298.748445146106,19165.339603212007,69464.08804835811,4618.798004677319,538.089537701526,24881.233276495746,20153.798953961552,1200.0,10800.000000000002,1200.0
B1,2025-02-17,51087.89603168563,4442.636124827957,55530.53215651359,1152.2389036193547,2919.34635990644,22099.671826273552,17879.92340989462,1200.0,10800.0,1223.123077096619
B1,2025-02-18,49824.90656065741,6062.171212426435,55887.077773083845,1536.633856648443,1500.2063588271665,22643.562961565363,18362.09676825491,1200.0,10800.000000000002,1200.0
B1,2025-02-19,49377.22311523005,11611.595850330068,60988.818965560116,2876.4783364059467,1436.1630060666178,25117.49439698122,20345.17046155479,1200.0,10800.000000000002,1200.0
B1,2025-02-20,49547.72112851071,7246.783758954865,56794.50488746558,1758.7453617860372,1585.5566282389796,23391.761557530222,18947.326861599486,1199.9999999999982,10800.0,1200.0
B1,2025-02-21,14300.07929532179,1384.6637668986434,15684.743062220432,730.9651981937213,6116.336461716322,20216.37415109384,16375.263062386013,1200.0,10800.000000000002,1200.0
B1,2025-02-22,14163.429193187112,5071.654467957675,19235.083661144785,2291.6526352198944,4931.282896671656,20184.39629145334,16349.360996077206,1200.0,10800.0,1200.0
B1,2025-02-23,47946.44404327113,11540.538693466307,59486.98273673744,3028.547627601489,829.959639282478,22118.580619241067,17916.050301585266,1200.0,10800.0,1200.0
