date,interval,slot,grid_purchase_kwh,daily_total_cost_yuan
2025-03-20,10:00-10:10,61,0.0,51103.89708080115
2025-03-20,12:00-12:10,73,581.5632784688376,51103.89708080115
2025-03-20,14:00-14:10,85,0.0,51103.89708080115
2025-03-20,16:00-16:10,97,505.4343027968917,51103.89708080115
2025-03-20,18:00-18:10,109,0.0,51103.89708080115
2025-03-20,20:00-20:10,121,0.0,51103.89708080115
2025-06-21,10:00-10:10,61,0.0,18284.37449969734
2025-06-21,12:00-12:10,73,0.0,18284.37449969734
2025-06-21,14:00-14:10,85,0.0,18284.37449969734
2025-06-21,16:00-16:10,97,147.92155290530513,18284.37449969734
2025-06-21,18:00-18:10,109,436.0778349449403,18284.37449969734
2025-06-21,20:00-20:10,121,0.0,18284.37449969734
2025-09-23,10:00-10:10,61,0.0,55675.627168403196
2025-09-23,12:00-12:10,73,453.4223437958688,55675.627168403196
2025-09-23,14:00-14:10,85,0.0,55675.627168403196
2025-09-23,16:00-16:10,97,569.9951950333995,55675.627168403196
2025-09-23,18:00-18:10,109,0.0,55675.627168403196
2025-09-23,20:00-20:10,121,778.9014254707714,55675.627168403196
2025-12-21,10:00-10:10,61,0.0,75373.88225723011
2025-12-21,12:00-12:10,73,908.80753132799,75373.88225723011
2025-12-21,14:00-14:10,85,0.0,75373.88225723011
2025-12-21,16:00-16:10,97,930.0736459301178,75373.88225723011
2025-12-21,18:00-18:10,109,709.8204189131562,75373.88225723011
2025-12-21,20:00-20:10,121,0.0,75373.88225723011
