date,policy,initial_soc_kwh,terminal_soc_kwh,expected_scenario_emergency_cost_yuan,planning_scenario_emergency_cvar95_yuan,max_planning_residual
2025-02-01,B1,3911.098134470335,1209.7760767452207,,,0.0
2025-02-01,B3,3911.098134470335,1209.7760767452207,1077.843672058041,,1.8189894035458565e-12
2025-02-01,B4,3911.098134470335,1209.7760767452207,560.7550634065965,4411.368820341243,1.8189894035458565e-12
2025-02-02,B1,1209.7760767452207,1205.9200660289312,,,0.0
2025-02-02,B3,1209.7760767452207,1300.1771920765138,4312.014361568858,,1.1141310096718373e-11
2025-02-02,B4,1209.7760767452207,1290.3986337666895,4037.5198577798055,43867.89335998664,1.8189894035458565e-12
2025-02-03,B1,1205.9200660289312,1214.7415490547662,,,0.0
2025-02-03,B3,1300.1771920765138,1200.0,5195.902709315698,,1.8189894035458565e-12
2025-02-03,B4,1290.3986337666895,1200.0,929.858567132979,8046.047636309734,1.8189894035458565e-12
2025-02-04,B1,1214.7415490547662,1200.0,,,0.0
2025-02-04,B3,1200.0,1331.3410113023613,6306.833468410201,,4.092726157978177e-12
2025-02-04,B4,1200.0,1257.5893324935998,4034.2074740165936,29125.875655701064,1.8189894035458565e-12
2025-02-05,B1,1200.0,1311.7972215902462,,,0.0
2025-02-05,B3,1331.3410113023613,1285.869771322719,5066.807304308259,,6.366462912410498e-12
2025-02-05,B4,1257.5893324935998,1285.869771322719,1129.1628567793002,11766.522996087346,1.8189894035458565e-12
2025-02-06,B1,1311.7972215902462,1241.398628924108,,,0.0
2025-02-06,B3,1285.869771322719,1262.4855816357936,5203.631964930879,,3.0127011996228248e-12
2025-02-06,B4,1285.869771322719,1262.7772323994818,1126.4456756287682,11796.237586187355,9.094947017729282e-12
2025-02-07,B1,1241.398628924108,1240.297616436631,,,0.0
2025-02-07,B3,1262.4855816357936,1248.340176257327,2974.6741457329776,,1.318767317570746e-11
2025-02-07,B4,1262.7772323994818,1234.7468979261296,681.494675582189,6028.815074201687,1.8189894035458565e-12
2025-02-08,B1,1240.297616436631,1233.7379144590334,,,0.0
2025-02-08,B3,1248.340176257327,1234.0378295826915,3830.2342784945386,,4.320099833421409e-12
