policy,date,original_plan_cost_yuan,final_non_emergency_cost_yuan,adjustment_net_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_purchase_kwh,remaining_energy_kwh,charge_kwh,discharge_kwh,soc_min_kwh,soc_max_kwh,terminal_soc_kwh
C0,2025-02-01,19022.20684559195,19022.20684559195,0.0,588.787334650155,19610.994180242105,389.95699141356477,8096.332371347119,16844.35176188624,16075.114779080459,1209.7760767452207,10514.268906509358,1209.7760767452207
C0,2025-02-02,71626.8178088702,71626.8178088702,0.0,305.73264073624534,71932.55044960644,105.19140907736033,17652.842474310884,18600.1602251792,15042.716676005053,1209.7760767452207,9233.575774647266,1235.7906394008876
C0,2025-02-03,75213.04971048655,75213.04971048655,0.0,595.9298627982945,75808.97957328484,147.22291556925626,19047.23276100209,17774.87533826243,14429.860599453366,1200.0,9123.87258002491,1200.0
C0,2025-02-04,73368.82058912075,73368.82058912075,0.0,258.9586779846833,73627.77926710543,106.81934963583727,15058.875845291312,19176.210668111165,15495.002964717074,1200.0,9126.536899382858,1241.919640503298
C0,2025-02-05,67664.29454591915,67664.29454591915,0.0,3242.8223278378214,70907.11687375698,751.9373507896556,9345.669352210405,21276.175182771476,17194.146780307416,1218.0423765033252,8997.872462048552,1285.869771322719
C0,2025-02-06,72092.95054231542,72092.95054231542,0.0,295.4135741070063,72388.36411642242,53.269476423614684,14515.664585629853,18897.171653769554,15382.699922860826,1200.0,9237.646380253063,1201.4354565366248
C0,2025-02-07,25020.60098535916,25020.60098535916,0.0,461.1440360032736,25481.745021362436,85.94614406919646,20747.017618571124,17958.04087995791,14516.032815515355,1201.4354565366248,9259.413914619356,1234.7468979261296
C0,2025-02-08,18025.736737532316,18025.736737532316,0.0,10304.006955650286,28329.7436931826,3404.1816459874294,10531.282102405212,18380.138407525414,14890.917799905474,1200.0,9382.479126984128,1231.407242581807
C0,2025-02-09,66509.2181027571,66509.2181027571,0.0,8290.811603216396,74800.0297059735,1881.8992487595506,11719.985275734467,19556.961779702197,15869.405559882403,1200.0,9344.342681102296,1200.0
C0,2025-02-10,63012.29345842857,63012.29345842857,0.0,1039.8505954334269,64052.14405386199,365.7701116032427,13512.490295586722,19424.196806308148,15733.599413109603,1200.0,9609.22487300326,1200.0
C0,2025-02-11,58473.25974073756,58473.25974073756,0.0,8232.297257253447,66705.556997991,1729.5779006213331,7252.77678819798,22111.373655310832,17910.21266080178,1200.0,10467.262953634106,1200.0
C0,2025-02-12,58847.57453100308,58847.57453100308,0.0,2905.5017990784527,61753.07633008154,632.6746623477009,6785.546154156171,21590.014261840377,17487.91155209071,1199.9999999999998,10204.253479851004,1200.0
C0,2025-02-13,54330.27262970443,54330.27262970443,0.0,7609.131035866704,61939.40366557113,1780.142007951005,7677.199516572575,20859.70083137737,16896.357673415667,1200.0,9831.635836091771,1200.0
C0,2025-02-14,15642.912835649488,15642.912835649488,0.0,6133.262908966672,21776.175744616157,2268.569137319357,7058.014678601121,20078.282679062064,16263.408970040271,1200.0,10305.923482042565,1200.0
C0,2025-02-15,18534.634923831756,18534.634923831756,0.0,4411.800619143998,22946.435542975752,1426.5037110607882,10630.75584310246,17090.53149422932,13843.33051032575,1200.0,9471.742560550096,1200.0
C0,2025-02-16,66198.74702187898,66198.74702187898,0.0,3996.203972818394,70194.95099469737,886.7660193599452,16061.765424161315,19496.155487420037,15791.885944810232,1200.0,9189.307397387976,1200.0
C0,2025-02-17,60012.6081513653,60012.6081513653,0.0,4159.53606805096,64172.14421941625,915.3443276557311,13375.287146991857,18840.308210755702,15243.775847163595,1200.0,9824.157751971614,1218.748670609467
C0,2025-02-18,51676.01592347754,51676.01592347754,0.0,11672.544657246453,63348.56058072399,2890.1836378322223,4680.5553631453695,21013.02211088743,17029.227438227066,1200.0,10159.853139015826,1209.1047501558517
C0,2025-02-19,50370.4387783839,50370.4387783839,0.0,9965.864566470444,60336.30334485434,2629.7292567402806,1239.8477469677664,23439.267907636102,18994.00128032551,1200.0,10207.937926318691,1200.0
C0,2025-02-20,54570.5308252491,54570.5308252491,0.0,5982.981980171287,60553.51280542039,1251.4962717602975,7363.114016637412,20741.93212011839,16800.965017295894,1200.0,10145.279424841843,1200.0
C0,2025-02-21,14703.51495975098,14703.51495975098,0.0,5646.722203098159,20350.23716284914,2249.74279182859,8723.871946594942,19568.088887871087,15850.151999175581,1200.0,10266.656800801034,1200.0
C0,2025-02-22,18535.9763867086,18535.9763867086,0.0,3460.3414451266694,21996.317831835273,1172.675888938494,12178.691841228023,17354.623264387756,14057.244844154082,1200.0,9261.1251249996,1200.0
C0,2025-02-23,51160.0091076908,51160.0091076908,0.0,9262.270531454227,60422.279639145025,2289.24346762762,3713.1314636619873,21133.313068933985,17117.98358583652,1200.0,10252.722167222206,1200.0
C0,2025-02-24,50251.56085612669,50251.56085612669,0.0,4026.5797111926054,54278.1405673193,1099.5645313135792,4195.5924022823765,21516.484434429916,17424.954115396864,1200.0,10145.87751765522,1203.7758627681965
