date,slot,policy,grid_plan_kwh
2025-02-01,1,C0,1281.3894183968112
2025-02-01,2,C0,1284.8111973499217
2025-02-01,3,C0,1254.973579599589
2025-02-01,4,C0,1283.8008179648675
2025-02-01,5,C0,616.2931499857838
2025-02-01,6,C0,437.88375093651234
2025-02-01,7,C0,504.4859680435025
2025-02-01,8,C0,471.4273020784004
2025-02-01,9,C0,413.0877100571848
2025-02-01,10,C0,511.8861549071148
2025-02-01,11,C0,1338.359401833908
2025-02-01,12,C0,1233.398446172208
2025-02-01,13,C0,481.0131493535704
2025-02-01,14,C0,539.2325315744793
2025-02-01,15,C0,505.12597460418766
2025-02-01,16,C0,1356.6958394018725
2025-02-01,17,C0,1366.2215517102368
2025-02-01,18,C0,502.8100160840339
2025-02-01,19,C0,482.120317679298
2025-02-01,20,C0,499.2379471712758
2025-02-01,21,C0,530.3550868934655
2025-02-01,22,C0,526.4860958419663
2025-02-01,23,C0,520.3772226213864
2025-02-01,24,C0,1349.5544921987312
2025-02-01,25,C0,492.4696368196261
2025-02-01,26,C0,517.8739337032736
2025-02-01,27,C0,577.0827388695764
2025-02-01,28,C0,581.4581093762191
2025-02-01,29,C0,575.0971926283927
2025-02-01,30,C0,568.1363489682019
2025-02-01,31,C0,525.86246262115
2025-02-01,32,C0,505.9581609691352
2025-02-01,33,C0,555.9009112983177
2025-02-01,34,C0,650.248243237423
2025-02-01,35,C0,619.5077231366417
2025-02-01,36,C0,0.0
2025-02-01,37,C0,0.0
2025-02-01,38,C0,0.0
2025-02-01,39,C0,14.145046773495778
2025-02-01,40,C0,0.0
2025-02-01,41,C0,0.0
2025-02-01,42,C0,0.0
2025-02-01,43,C0,0.0
2025-02-01,44,C0,0.0
2025-02-01,45,C0,472.7409767548728
2025-02-01,46,C0,385.41767865072217
2025-02-01,47,C0,0.0
2025-02-01,48,C0,0.0
2025-02-01,49,C0,0.0
2025-02-01,50,C0,0.0
2025-02-01,51,C0,0.0
2025-02-01,52,C0,0.0
2025-02-01,53,C0,0.0
2025-02-01,54,C0,0.0
2025-02-01,55,C0,0.0
2025-02-01,56,C0,0.0
2025-02-01,57,C0,0.0
2025-02-01,58,C0,0.0
2025-02-01,59,C0,0.0
2025-02-01,60,C0,0.0
2025-02-01,61,C0,0.0
2025-02-01,62,C0,0.0
2025-02-01,63,C0,0.0
2025-02-01,64,C0,0.0
2025-02-01,65,C0,0.0
2025-02-01,66,C0,0.0
2025-02-01,67,C0,0.0
2025-02-01,68,C0,0.0
2025-02-01,69,C0,0.0
2025-02-01,70,C0,0.0
2025-02-01,71,C0,0.0
2025-02-01,72,C0,0.0
2025-02-01,73,C0,0.0
2025-02-01,74,C0,0.0
2025-02-01,75,C0,0.0
2025-02-01,76,C0,0.0
2025-02-01,77,C0,0.0
2025-02-01,78,C0,0.0
2025-02-01,79,C0,0.0
2025-02-01,80,C0,0.0
2025-02-01,81,C0,0.0
2025-02-01,82,C0,0.0
2025-02-01,83,C0,0.0
2025-02-01,84,C0,0.0
2025-02-01,85,C0,0.0
2025-02-01,86,C0,0.0
2025-02-01,87,C0,0.0
2025-02-01,88,C0,0.0
2025-02-01,89,C0,0.0
2025-02-01,90,C0,20.01312416002827
2025-02-01,91,C0,102.30080855174084
2025-02-01,92,C0,166.032736747537
2025-02-01,93,C0,200.8857630373409
2025-02-01,94,C0,253.39731542155505
2025-02-01,95,C0,354.6856087440773
2025-02-01,96,C0,448.69304782083054
2025-02-01,97,C0,423.74310124540585
2025-02-01,98,C0,445.8381851932661
2025-02-01,99,C0,543.9242341320728
2025-02-01,100,C0,601.1336863597837
2025-02-01,101,C0,574.6341383614748
2025-02-01,102,C0,542.527308973448
2025-02-01,103,C0,621.9437608038447
2025-02-01,104,C0,541.4260547017531
2025-02-01,105,C0,585.6982439726123
2025-02-01,106,C0,589.8678765195676
2025-02-01,107,C0,489.473544787526
2025-02-01,108,C0,0.0
2025-02-01,109,C0,0.0
2025-02-01,110,C0,0.0
2025-02-01,111,C0,0.0
2025-02-01,112,C0,0.0
2025-02-01,113,C0,0.0
2025-02-01,114,C0,0.0
2025-02-01,115,C0,0.0
2025-02-01,116,C0,0.0
2025-02-01,117,C0,0.0
2025-02-01,118,C0,0.0
2025-02-01,119,C0,0.0
2025-02-01,120,C0,0.0
2025-02-01,121,C0,0.0
2025-02-01,122,C0,0.0
2025-02-01,123,C0,0.0
2025-02-01,124,C0,0.0
2025-02-01,125,C0,0.0
2025-02-01,126,C0,506.233888528633
2025-02-01,127,C0,461.5714216402653
2025-02-01,128,C0,446.9155369099332
2025-02-01,129,C0,474.4167366190165
2025-02-01,130,C0,485.29647875439406
2025-02-01,131,C0,442.83771089109166
2025-02-01,132,C0,398.4333288292013
2025-02-01,133,C0,1215.0270141884405
2025-02-01,134,C0,1250.2903827777195
2025-02-01,135,C0,1293.7133962634664
