date,interval,emergency_purchase_kwh
2025-03-20,1:10-1:50,82.42162139368595
2025-03-20,2:30-2:50,24.616460405194175
2025-03-20,3:10-4:10,222.8940638086707
2025-03-20,4:20-4:40,7.85822437156363
2025-03-20,4:50-5:20,155.26962221130555
2025-03-20,8:40-8:50,278.0051333333332
2025-03-20,9:00-10:00,477.52273293521125
2025-03-20,11:20-12:00,609.1635705614025
2025-03-20,12:30-12:50,159.99917088004838
2025-03-20,14:50-15:00,284.84641960856857
2025-03-20,15:20-15:40,265.13158318469254
2025-03-20,16:00-16:50,259.9525065653253
2025-03-20,17:10-17:30,7.9545108476779625
2025-03-20,19:10-19:20,10.560921790654804
2025-03-20,20:20-20:30,14.878152774410635
2025-03-20,21:10-21:50,98.39549350590396
2025-03-20,23:30-0:00+1,50.93405567995425
2025-06-21,1:20-2:10,105.70017042583854
2025-06-21,3:00-3:10,23.82238832752921
2025-06-21,3:20-3:30,10.123682446842396
2025-06-21,4:00-4:10,34.55782539127211
2025-06-21,4:50-5:10,60.716490893258026
2025-09-23,1:00-1:10,10.223268442814629
2025-09-23,2:10-2:30,28.104292681621473
2025-09-23,4:50-5:20,56.260519209741695
2025-09-23,5:40-5:50,12.229298888396148
2025-09-23,7:00-7:10,103.47220975978917
2025-09-23,7:20-7:30,6.882875732101571
2025-09-23,7:40-7:50,28.190858415410275
2025-09-23,8:50-9:10,144.5577814029644
2025-09-23,9:20-9:50,53.86450462513101
2025-09-23,10:00-10:10,3.38896666666642
2025-09-23,15:20-15:30,446.1191105323046
2025-09-23,15:50-16:10,110.24681168655064
2025-09-23,16:40-16:50,131.96164745455798
2025-09-23,17:00-17:20,37.7427868390664
2025-09-23,17:30-17:50,15.445408267507144
2025-09-23,18:40-19:10,169.53861840943048
2025-09-23,19:50-20:30,273.7838091828197
2025-09-23,20:50-21:40,158.97460134397693
2025-09-23,22:20-22:30,48.925075482819125
2025-12-21,3:00-3:20,25.58535075246357
2025-12-21,3:30-3:50,110.8485218480514
2025-12-21,5:40-5:50,16.58880078409534
2025-12-21,11:40-12:00,159.51335818793757
2025-12-21,12:40-12:50,13.880318546401895
2025-12-21,17:50-18:00,2.292550215072424
2025-12-21,18:10-18:20,7.76721546418292
2025-12-21,18:30-18:50,33.36136073355743
2025-12-21,20:40-20:50,111.59340203847329
2025-12-21,22:40-23:10,15.247894245715372
2025-12-21,23:30-23:50,18.99774249246075
