policy,month,total_cost_yuan,emergency_cost_yuan,emergency_purchase_kwh,remaining_energy_kwh,branch
C0,2,1481238.320485304,143309.91711885476,38010.75229623588,280784.2570041171,Q4-3
C0,3,1291418.8098226294,175206.3977503468,51589.526589603,284113.6895300115,Q4-3
C0,4,1106621.6017147317,232568.61665687614,74225.16466240118,290651.8580617643,Q4-3
C0,5,1169588.33239244,282552.853426714,79199.25053979394,323429.4986331853,Q4-3
C0,6,1677954.7396530616,334748.20505775267,84765.9413955794,265524.43139366433,Q4-3
C0,7,2134966.153480752,472298.09632965253,118064.12424458952,373898.903798641,Q4-3
C0,8,1626559.72653272,160833.24701299076,41014.677565444385,475924.7530647501,Q4-3
C0,9,1386225.9630299567,311284.9553344751,86816.62536349891,338498.01563009724,Q4-3
C0,10,1377363.1815344545,267546.1987140505,70975.3389633523,324295.86491476547,Q4-3
C0,11,1574879.2150811788,253515.91640492738,60204.67824114056,227474.80373517424,Q4-3
C0,12,2166100.2756896424,304518.77694389306,73671.34783533645,192942.97145134833,Q4-3
C1,2,1478850.9114511483,140922.50808469902,35710.94361401961,278545.7176305392,Q4-3
C1,3,1320993.6810126149,204781.26894033217,60986.028526348295,293558.5597640494,Q4-3
C1,4,1043106.2006810118,169053.21562315608,55516.22941186608,271403.86909067165,Q4-3
C1,5,1134747.3895152002,247692.43171232246,72281.6591775397,315634.02301493724,Q4-3
C1,6,1676663.5109559111,333078.79474831047,89370.1426268064,270635.048576628,Q4-3
C1,7,2103798.772460277,441110.913946185,114714.61391517456,370450.6568514833,Q4-3
C1,8,1605722.9176976264,139956.1239069154,37540.3856082672,472290.2698919276,Q4-3
C1,9,1379152.6665157054,304261.7425443132,86053.45699904289,337744.5822049052,Q4-3
C1,10,1393603.0885157255,284003.3355502184,76883.67056136965,329593.9164574143,Q4-3
C1,11,1555715.7392168788,234352.44054062746,58857.362277481145,224897.86933206368,Q4-3
C1,12,2172536.8399086287,310955.3411628795,76202.61984502034,195165.78166969723,Q4-3
C2,2,1477951.1650422728,78489.23836035335,20426.738894057566,296350.2487143633,Q4-3
C2,3,1260476.8597022975,94653.9163814275,30025.318626099073,282025.4474541936,Q4-3
C2,4,1019922.0374717518,80958.62877555616,28245.166108107318,297659.6683295817,Q4-3
C2,5,1089212.4342490712,129583.16647115258,36064.18118080336,347386.9801232372,Q4-3
C2,6,1691633.0053590792,205971.92546330843,53367.83734309341,329149.45371165464,Q4-3
C2,7,2128284.372364405,293846.1742045412,74162.28168585106,442142.7927776324,Q4-3
C2,8,1581663.7795840933,73523.86885880448,18964.239861410973,451735.4661798924,Q4-3
C2,9,1315467.0126878854,212159.59974532633,59414.22976552051,306050.15830228955,Q4-3
C2,10,1324117.8891915237,139828.45793420196,39552.77498142239,312813.3475105931,Q4-3
C2,11,1521144.2761827211,78287.86414470788,21505.523140194568,271144.4911466462,Q4-3
C2,12,2152841.2549341526,167116.98469665967,41321.67001033939,251542.18323437948,Q4-3
C3,2,1480965.6336178107,89260.21341207494,22705.7024389133,295651.29270824685,Q4-3
C3,3,1266372.9631094877,103422.34994421822,32038.726107608833,283574.1088055481,Q4-3
C3,4,1027192.2706018396,93548.84408804898,30802.12318081276,298459.5787758252,Q4-3
C3,5,1095322.073122427,137490.58935070116,37555.50443918614,348251.4618118544,Q4-3
C3,6,1687991.7080820617,204894.76713656052,53101.78544880636,328537.1033212469,Q4-3
C3,7,2132634.1971243317,298260.15127071796,75519.86410064498,445558.57149317535,Q4-3
C3,8,1582501.312782412,78098.26107264642,20431.49002422836,445716.25311700226,Q4-3
C3,9,1323378.3716460122,225094.04623413825,62643.123405951985,307653.47924150055,Q4-3
C3,10,1326694.7080251279,152514.99995528572,42206.804820019985,310686.64550466184,Q4-3
C3,11,1523824.2450294117,80932.34332077732,22128.389556660128,276117.80162997916,Q4-3
C3,12,2149062.4909341913,170422.99301659837,41822.25825192835,248773.1204928442,Q4-3
