source_row,source_time_label,interval_date,interval_start,interval_end,slot,target_cell,result1_row,result1_time_label
2,0:10,2025-01-01,2025-01-01 00:00:00,2025-01-01 00:10:00,1,B145,145,0:00+1-0:10+1
3,0:20,2025-01-01,2025-01-01 00:10:00,2025-01-01 00:20:00,2,B2,2,0:10-0:20
4,0:30,2025-01-01,2025-01-01 00:20:00,2025-01-01 00:30:00,3,B3,3,0:20-0:30
5,0:40,2025-01-01,2025-01-01 00:30:00,2025-01-01 00:40:00,4,B4,4,0:30-0:40
6,0:50,2025-01-01,2025-01-01 00:40:00,2025-01-01 00:50:00,5,B5,5,0:40-0:50
7,1:00,2025-01-01,2025-01-01 00:50:00,2025-01-01 01:00:00,6,B6,6,0:50-1:00
8,1:10,2025-01-01,2025-01-01 01:00:00,2025-01-01 01:10:00,7,B7,7,1:00-1:10
9,1:20,2025-01-01,2025-01-01 01:10:00,2025-01-01 01:20:00,8,B8,8,1:10-1:20
10,1:30,2025-01-01,2025-01-01 01:20:00,2025-01-01 01:30:00,9,B9,9,1:20-1:30
11,1:40,2025-01-01,2025-01-01 01:30:00,2025-01-01 01:40:00,10,B10,10,1:30-1:40
12,1:50,2025-01-01,2025-01-01 01:40:00,2025-01-01 01:50:00,11,B11,11,1:40-1:50
13,2:00,2025-01-01,2025-01-01 01:50:00,2025-01-01 02:00:00,12,B12,12,1:50-2:00
14,2:10,2025-01-01,2025-01-01 02:00:00,2025-01-01 02:10:00,13,B13,13,2:00-2:10
15,2:20,2025-01-01,2025-01-01 02:10:00,2025-01-01 02:20:00,14,B14,14,2:10-2:20
16,2:30,2025-01-01,2025-01-01 02:20:00,2025-01-01 02:30:00,15,B15,15,2:20-2:30
17,2:40,2025-01-01,2025-01-01 02:30:00,2025-01-01 02:40:00,16,B16,16,2:30-2:40
18,2:50,2025-01-01,2025-01-01 02:40:00,2025-01-01 02:50:00,17,B17,17,2:40-2:50
19,3:00,2025-01-01,2025-01-01 02:50:00,2025-01-01 03:00:00,18,B18,18,2:50-3:00
20,3:10,2025-01-01,2025-01-01 03:00:00,2025-01-01 03:10:00,19,B19,19,3:00-3:10
21,3:20,2025-01-01,2025-01-01 03:10:00,2025-01-01 03:20:00,20,B20,20,3:10-3:20
22,3:30,2025-01-01,2025-01-01 03:20:00,2025-01-01 03:30:00,21,B21,21,3:20-3:30
23,3:40,2025-01-01,2025-01-01 03:30:00,2025-01-01 03:40:00,22,B22,22,3:30-3:40
24,3:50,2025-01-01,2025-01-01 03:40:00,2025-01-01 03:50:00,23,B23,23,3:40-3:50
